development,origin,values
1977,1977,153638.0
1978,1978,178536.0
1979,1979,210172.0
1980,1980,211448.0
1981,1981,219810.0
1982,1982,205654.0
1983,1983,197716.0
1984,1984,239784.0
1985,1985,326304.0
1986,1986,420778.0
1987,1987,496200.0
1978,1977,342050.0
1979,1978,404948.0
1980,1979,469340.0
1981,1980,464930.0
1982,1981,486114.0
1983,1982,458400.0
1984,1983,453124.0
1985,1984,569026.0
1986,1985,798048.0
1987,1986,1011178.0
1979,1977,476584.0
1980,1978,563842.0
1981,1979,657728.0
1982,1980,648300.0
1983,1981,680764.0
1984,1982,635906.0
1985,1983,647772.0
1986,1984,833828.0
1987,1985,1173448.0
1980,1977,564040.0
1981,1978,668528.0
1982,1979,780802.0
1983,1980,779340.0
1984,1981,800862.0
1985,1982,765428.0
1986,1983,790100.0
1987,1984,1024228.0
1981,1977,624388.0
1982,1978,739976.0
1983,1979,864182.0
1984,1980,858334.0
1985,1981,888444.0
1986,1982,862214.0
1987,1983,895700.0
1982,1977,666792.0
1983,1978,787966.0
1984,1979,920268.0
1985,1980,918566.0
1986,1981,951194.0
1987,1982,944614.0
1983,1977,698030.0
1984,1978,823542.0
1985,1979,958764.0
1986,1980,964134.0
1987,1981,1002194.0
1984,1977,719282.0
1985,1978,848360.0
1986,1979,992532.0
1987,1980,1002134.0
1985,1977,735904.0
1986,1978,871022.0
1987,1979,1019932.0
1986,1977,750344.0
1987,1978,889022.0
1987,1977,762544.0
