development,origin,values
2006,2006,357848
2007,2007,352118
2008,2008,290507
2009,2009,310608
2010,2010,443160
2011,2011,396132
2012,2012,440832
2013,2013,359480
2014,2014,376686
2015,2015,344014
2007,2006,1124788
2008,2007,1236139
2009,2008,1292306
2010,2009,1418858
2011,2010,1136350
2012,2011,1333217
2013,2012,1288463
2014,2013,1421128
2015,2014,1363294
2008,2006,1735330
2009,2007,2170033
2010,2008,2218525
2011,2009,2195047
2012,2010,2128333
2013,2011,2180715
2014,2012,2419861
2015,2013,2864498
2009,2006,2218270
2010,2007,3353322
2011,2008,3235179
2012,2009,3757447
2013,2010,2897821
2014,2011,2985752
2015,2012,3483130
2010,2006,2745596
2011,2007,3799067
2012,2008,3985995
2013,2009,4029929
2014,2010,3402672
2015,2011,3691712
2011,2006,3319994
2012,2007,4120063
2013,2008,4132918
2014,2009,4381982
2015,2010,3873311
2012,2006,3466336
2013,2007,4647867
2014,2008,4628910
2015,2009,4588268
2013,2006,3606286
2014,2007,4914039
2015,2008,4909315
2014,2006,3833515
2015,2007,5339085
2015,2006,3901463
