GRCODE,GRNAME,AccidentYear,DevelopmentYear,DevelopmentLag,IncurLoss,CumPaidLoss,BulkLoss,EarnedPremDIR,EarnedPremCeded,EarnedPremNet,Single,PostedReserve97,LOB
86,Allstate Ins Co Grp,1988,1988,1,367404,70571,127737,400699,5957,394742,0,281872,wkcomp
86,Allstate Ins Co Grp,1988,1989,2,362988,155905,60173,400699,5957,394742,0,281872,wkcomp
86,Allstate Ins Co Grp,1988,1990,3,347288,220744,27763,400699,5957,394742,0,281872,wkcomp
86,Allstate Ins Co Grp,1988,1991,4,330648,251595,15280,400699,5957,394742,0,281872,wkcomp
86,Allstate Ins Co Grp,1988,1992,5,354690,274156,27689,400699,5957,394742,0,281872,wkcomp
86,Allstate Ins Co Grp,1988,1993,6,350092,287676,20641,400699,5957,394742,0,281872,wkcomp
86,Allstate Ins Co Grp,1988,1994,7,346808,298499,14513,400699,5957,394742,0,281872,wkcomp
86,Allstate Ins Co Grp,1988,1995,8,349124,304873,15862,400699,5957,394742,0,281872,wkcomp
86,Allstate Ins Co Grp,1988,1996,9,348157,321808,8974,400699,5957,394742,0,281872,wkcomp
86,Allstate Ins Co Grp,1988,1997,10,347762,325322,8843,400699,5957,394742,0,281872,wkcomp
86,Allstate Ins Co Grp,1989,1989,1,336928,66547,116172,379603,5351,374252,0,281872,wkcomp
86,Allstate Ins Co Grp,1989,1990,2,316483,136447,52298,379603,5351,374252,0,281872,wkcomp
86,Allstate Ins Co Grp,1989,1991,3,278496,179142,20543,379603,5351,374252,0,281872,wkcomp
86,Allstate Ins Co Grp,1989,1992,4,303033,211343,28846,379603,5351,374252,0,281872,wkcomp
86,Allstate Ins Co Grp,1989,1993,5,299496,231430,22033,379603,5351,374252,0,281872,wkcomp
86,Allstate Ins Co Grp,1989,1994,6,295061,244750,17174,379603,5351,374252,0,281872,wkcomp
86,Allstate Ins Co Grp,1989,1995,7,299251,254557,17851,379603,5351,374252,0,281872,wkcomp
86,Allstate Ins Co Grp,1989,1996,8,297492,270059,10305,379603,5351,374252,0,281872,wkcomp
86,Allstate Ins Co Grp,1989,1997,9,300620,273873,12520,379603,5351,374252,0,281872,wkcomp
86,Allstate Ins Co Grp,1990,1990,1,289198,52233,108959,283661,3341,280320,0,281872,wkcomp
86,Allstate Ins Co Grp,1990,1991,2,311381,133370,62543,283661,3341,280320,0,281872,wkcomp
86,Allstate Ins Co Grp,1990,1992,3,277980,178444,32561,283661,3341,280320,0,281872,wkcomp
86,Allstate Ins Co Grp,1990,1993,4,277732,204442,25858,283661,3341,280320,0,281872,wkcomp
86,Allstate Ins Co Grp,1990,1994,5,276563,222193,21189,283661,3341,280320,0,281872,wkcomp
86,Allstate Ins Co Grp,1990,1995,6,278067,232940,16645,283661,3341,280320,0,281872,wkcomp
86,Allstate Ins Co Grp,1990,1996,7,276704,253337,9428,283661,3341,280320,0,281872,wkcomp
86,Allstate Ins Co Grp,1990,1997,8,281101,256788,11861,283661,3341,280320,0,281872,wkcomp
86,Allstate Ins Co Grp,1991,1991,1,297174,59315,112836,318922,4940,313982,0,281872,wkcomp
86,Allstate Ins Co Grp,1991,1992,2,277209,128051,60251,318922,4940,313982,0,281872,wkcomp
86,Allstate Ins Co Grp,1991,1993,3,269739,169793,37066,318922,4940,313982,0,281872,wkcomp
86,Allstate Ins Co Grp,1991,1994,4,272666,196685,28931,318922,4940,313982,0,281872,wkcomp
86,Allstate Ins Co Grp,1991,1995,5,271318,213165,24175,318922,4940,313982,0,281872,wkcomp
86,Allstate Ins Co Grp,1991,1996,6,267578,234676,12850,318922,4940,313982,0,281872,wkcomp
86,Allstate Ins Co Grp,1991,1997,7,269592,239195,12899,318922,4940,313982,0,281872,wkcomp
86,Allstate Ins Co Grp,1992,1992,1,181796,39991,73135,257236,4538,252698,0,281872,wkcomp
86,Allstate Ins Co Grp,1992,1993,2,205079,89873,52160,257236,4538,252698,0,281872,wkcomp
86,Allstate Ins Co Grp,1992,1994,3,199106,114117,39554,257236,4538,252698,0,281872,wkcomp
86,Allstate Ins Co Grp,1992,1995,4,187833,133003,20231,257236,4538,252698,0,281872,wkcomp
86,Allstate Ins Co Grp,1992,1996,5,185663,154362,12532,257236,4538,252698,0,281872,wkcomp
86,Allstate Ins Co Grp,1992,1997,6,184940,159496,11114,257236,4538,252698,0,281872,wkcomp
86,Allstate Ins Co Grp,1993,1993,1,114807,19744,57891,202249,1194,201055,0,281872,wkcomp
86,Allstate Ins Co Grp,1993,1994,2,114774,47229,39773,202249,1194,201055,0,281872,wkcomp
86,Allstate Ins Co Grp,1993,1995,3,101460,61909,16188,202249,1194,201055,0,281872,wkcomp
86,Allstate Ins Co Grp,1993,1996,4,98430,85099,5161,202249,1194,201055,0,281872,wkcomp
86,Allstate Ins Co Grp,1993,1997,5,96930,87215,3768,202249,1194,201055,0,281872,wkcomp
86,Allstate Ins Co Grp,1994,1994,1,107934,20379,47405,176600,2219,174381,0,281872,wkcomp
86,Allstate Ins Co Grp,1994,1995,2,107569,46773,22605,176600,2219,174381,0,281872,wkcomp
86,Allstate Ins Co Grp,1994,1996,3,97730,88636,1704,176600,2219,174381,0,281872,wkcomp
86,Allstate Ins Co Grp,1994,1997,4,96185,91077,537,176600,2219,174381,0,281872,wkcomp
86,Allstate Ins Co Grp,1995,1995,1,100686,18756,42787,148185,1819,146366,0,281872,wkcomp
86,Allstate Ins Co Grp,1995,1996,2,94456,84712,3054,148185,1819,146366,0,281872,wkcomp
86,Allstate Ins Co Grp,1995,1997,3,92314,87311,469,148185,1819,146366,0,281872,wkcomp
86,Allstate Ins Co Grp,1996,1996,1,53381,42609,5665,95488,2194,93294,0,281872,wkcomp
86,Allstate Ins Co Grp,1996,1997,2,51205,44916,1788,95488,2194,93294,0,281872,wkcomp
86,Allstate Ins Co Grp,1997,1997,1,6725,691,3547,8347,696,7651,0,281872,wkcomp
337,California Cas Grp,1988,1988,1,62679,9558,24619,104437,4658,99779,0,209415,wkcomp
337,California Cas Grp,1988,1989,2,64000,22778,13092,104437,4658,99779,0,209415,wkcomp
337,California Cas Grp,1988,1990,3,65607,33298,13020,104437,4658,99779,0,209415,wkcomp
337,California Cas Grp,1988,1991,4,65292,40348,11540,104437,4658,99779,0,209415,wkcomp
337,California Cas Grp,1988,1992,5,62250,45146,9513,104437,4658,99779,0,209415,wkcomp
337,California Cas Grp,1988,1993,6,61185,48048,8571,104437,4658,99779,0,209415,wkcomp
337,California Cas Grp,1988,1994,7,59387,49782,6815,104437,4658,99779,0,209415,wkcomp
337,California Cas Grp,1988,1995,8,57138,50623,4438,104437,4658,99779,0,209415,wkcomp
337,California Cas Grp,1988,1996,9,53473,51812,846,104437,4658,99779,0,209415,wkcomp
337,California Cas Grp,1988,1997,10,53261,51939,534,104437,4658,99779,0,209415,wkcomp
337,California Cas Grp,1989,1989,1,62058,7913,31073,88883,3773,85110,0,209415,wkcomp
337,California Cas Grp,1989,1990,2,56660,19472,13461,88883,3773,85110,0,209415,wkcomp
337,California Cas Grp,1989,1991,3,56598,29622,8875,88883,3773,85110,0,209415,wkcomp
337,California Cas Grp,1989,1992,4,56831,36816,8396,88883,3773,85110,0,209415,wkcomp
337,California Cas Grp,1989,1993,5,55294,40975,8354,88883,3773,85110,0,209415,wkcomp
337,California Cas Grp,1989,1994,6,53481,43302,6691,88883,3773,85110,0,209415,wkcomp
337,California Cas Grp,1989,1995,7,51379,44707,4438,88883,3773,85110,0,209415,wkcomp
337,California Cas Grp,1989,1996,8,48446,45871,1128,88883,3773,85110,0,209415,wkcomp
337,California Cas Grp,1989,1997,9,48300,46229,801,88883,3773,85110,0,209415,wkcomp
337,California Cas Grp,1990,1990,1,63955,8744,32172,85956,3769,82187,0,209415,wkcomp
337,California Cas Grp,1990,1991,2,61523,24302,9081,85956,3769,82187,0,209415,wkcomp
337,California Cas Grp,1990,1992,3,63166,35406,8075,85956,3769,82187,0,209415,wkcomp
337,California Cas Grp,1990,1993,4,61402,43412,7269,85956,3769,82187,0,209415,wkcomp
337,California Cas Grp,1990,1994,5,59474,48057,5452,85956,3769,82187,0,209415,wkcomp
337,California Cas Grp,1990,1995,6,57613,50897,2536,85956,3769,82187,0,209415,wkcomp
337,California Cas Grp,1990,1996,7,57161,52879,1692,85956,3769,82187,0,209415,wkcomp
337,California Cas Grp,1990,1997,8,56971,53956,1175,85956,3769,82187,0,209415,wkcomp
337,California Cas Grp,1991,1991,1,73918,13301,25129,99339,4342,94997,0,209415,wkcomp
337,California Cas Grp,1991,1992,2,75094,32950,9184,99339,4342,94997,0,209415,wkcomp
337,California Cas Grp,1991,1993,3,73188,47201,4448,99339,4342,94997,0,209415,wkcomp
337,California Cas Grp,1991,1994,4,71199,56394,3345,99339,4342,94997,0,209415,wkcomp
337,California Cas Grp,1991,1995,5,71056,61650,2409,99339,4342,94997,0,209415,wkcomp
337,California Cas Grp,1991,1996,6,70831,65039,2256,99339,4342,94997,0,209415,wkcomp
337,California Cas Grp,1991,1997,7,70532,66566,1388,99339,4342,94997,0,209415,wkcomp
337,California Cas Grp,1992,1992,1,77143,11424,41738,104897,4389,100508,0,209415,wkcomp
337,California Cas Grp,1992,1993,2,75133,29086,21264,104897,4389,100508,0,209415,wkcomp
337,California Cas Grp,1992,1994,3,73284,42034,14869,104897,4389,100508,0,209415,wkcomp
337,California Cas Grp,1992,1995,4,73155,50910,12870,104897,4389,100508,0,209415,wkcomp
337,California Cas Grp,1992,1996,5,68284,56406,5640,104897,4389,100508,0,209415,wkcomp
337,California Cas Grp,1992,1997,6,67845,59437,3738,104897,4389,100508,0,209415,wkcomp
337,California Cas Grp,1993,1993,1,79925,11792,51023,119427,5075,114352,0,209415,wkcomp
337,California Cas Grp,1993,1994,2,78263,27161,32835,119427,5075,114352,0,209415,wkcomp
337,California Cas Grp,1993,1995,3,78163,38229,26818,119427,5075,114352,0,209415,wkcomp
