Accident Year,Calendar Year,Paid Claims,Reported Claims,Earned Premium
2000,2000,,,24000000
2000,2001,,,24000000
2000,2002,,,24000000
2000,2003,,,24000000
2000,2004,,,24000000
2000,2005,,,24000000
2000,2006,,,24000000
2000,2007,8673913.04347826,9852941.17647059,24000000
2000,2008,9500000,10000000,24000000
2001,2001,,,18000000
2001,2002,,,18000000
2001,2003,,,18000000
2001,2004,,,18000000
2001,2005,,,18000000
2001,2006,,,18000000
2001,2007,6624000,7922330.09708738,18000000
2001,2008,7200000,8000000,18000000
2002,2002,,,19000000
2002,2003,,,19000000
2002,2004,,,19000000
2002,2005,,,19000000
2002,2006,,,19000000
2002,2007,7037037.03703704,8801818.18181818,19000000
2002,2008,7600000,9400000,19000000
2003,2003,,,23000000
2003,2004,,,23000000
2003,2005,,,23000000
2003,2006,,,23000000
2003,2007,6017142.85714286,14300000,23000000
2003,2008,7800000,15600000,23000000
2004,2004,,,32000000
2004,2005,,,32000000
2004,2006,,,32000000
2004,2007,7840000,14142857.1428571,32000000
2004,2008,11200000,16500000,32000000
2005,2005,,,47000000
2005,2006,,,47000000
2005,2007,5100000,14388888.8888889,47000000
2005,2008,10200000,18500000,47000000
2006,2006,,,50000000
2006,2007,2000000,10241379.3103448,50000000
2006,2008,6000000,16500000,50000000
2007,2007,500000,10150000,57000000
2007,2008,3000000,14000000,57000000
2008,2008,750000,8700000,62000000
