Accident Half-Year,Calendar Half-Year,Closed Claim Counts,Reported Claim Counts,Reported Claims,Reported Severity,Paid Claims
2003-07,2003-07,2547,3556,14234668,4003,
2003-07,2004-01,3262,3314,14959396,4514,
2003-07,2004-07,3287,3301,14920520,4520,
2003-07,2005-01,3291,3299,14911480,4520,
2003-07,2005-07,3292,3295,14926350,4530,
2003-07,2006-01,3292,3294,14862528,4512,
2003-07,2006-07,3292,3293,14861309,4513,
2003-07,2007-01,3292,3293,14854723,4511,
2003-07,2007-07,3292,3293,14851430,4510,
2003-07,2008-01,3292,3292,14846920,4510,14846000
2004-01,2004-01,2791,3492,14547672,4166,
2004-01,2004-07,3217,3262,14672476,4498,
2004-01,2005-01,3240,3250,14644500,4506,
2004-01,2005-07,3242,3247,14627735,4505,
2004-01,2006-01,3243,3247,14621241,4503,
2004-01,2006-07,3243,3245,14608990,4502,
2004-01,2007-01,3243,3245,14608990,4502,
2004-01,2007-07,3243,3244,14610976,4504,
2004-01,2008-01,3242,3243,14616201,4507,14614000
2004-07,2004-07,2099,2980,12128600,4070,
2004-07,2005-01,2677,2712,12575544,4637,
2004-07,2005-07,2695,2704,12541152,4638,
2004-07,2006-01,2697,2702,12531876,4638,
2004-07,2006-07,2697,2700,12522600,4683,
2004-07,2007-01,2698,2700,12522600,4638,
2004-07,2007-07,2698,2699,12509865,4635,
2004-07,2008-01,2698,2699,12501768,4632,12502000
2005-01,2005-01,2370,2896,11980752,4137,
2005-01,2005-07,2735,2768,11921776,4307,
2005-01,2006-01,2751,2761,11883344,4304,
2005-01,2006-07,2754,2758,11862158,4301,
2005-01,2007-01,2755,2758,11853884,4298,
2005-01,2007-07,2755,2758,11842852,4294,
2005-01,2008-01,2756,2757,11841315,4295,11840000
2005-07,2005-07,1966,2814,11284140,4010,
2005-07,2006-01,2609,2650,11842850,4469,
2005-07,2006-07,2630,2640,11806080,4472,
2005-07,2007-01,2634,2639,11788413,4467,
2005-07,2007-07,2634,2638,11770756,4462,
2005-07,2008-01,2634,2636,11769740,4465,11765000
2006-01,2006-01,2261,2808,11945232,4254,
2006-01,2006-07,2671,2712,11856864,4372,
2006-01,2007-01,2694,2704,11819184,4371,
2006-01,2007-07,2696,2701,11773659,4359,
2006-01,2008-01,2697,2700,11761200,4356,11755000
2006-07,2006-07,1949,2799,12503133,4467,
2006-07,2007-01,2637,2675,12762425,4771,
2006-07,2007-07,2659,2670,12706530,4759,
2006-07,2008-01,2662,2668,12697012,4759,12679000
2007-01,2007-01,2059,2578,11662872,4524,
2007-01,2007-07,2496,2533,11522617,4549,
2007-01,2008-01,2520,2529,11491776,4544,11406000
2007-07,2007-07,2083,2791,12646021,4531,
2007-07,2008-01,2732,2778,12853806,4627,12648000
2008-01,2008-01,2533,3139,14072137,4483,11833000
