Accident Year,Calendar Year,Reported ALAE,Paid ALAE,Reported Claims,Paid Claims
1998,1998,684,512,109286,78144
1998,1999,953,856,111832,105902
1998,2000,1031,949,110648,107306
1998,2001,1062,1003,109174,108135
1998,2002,1080,1049,108849,108307
1998,2003,1084,1065,108779,108494
1998,2004,1089,1075,108786,108523
1998,2005,1092,1080,108646,108628
1998,2006,1092,1082,108736,108731
1998,2007,1092,1084,108735,108730
1998,2008,1092,1084,108732,108730
1999,1999,625,529,120639,81290
1999,2000,929,874,119607,114037
1999,2001,1006,952,116924,115347
1999,2002,1033,988,116482,115696
1999,2003,1041,1016,116332,115843
1999,2004,1046,1024,116230,115930
1999,2005,1049,1034,116236,115962
1999,2006,1051,1040,116161,115969
1999,2007,1051,1042,116160,115969
1999,2008,1051,1045,116125,116033
2000,2000,571,471,115422,83563
2000,2001,771,720,119143,114175
2000,2002,821,787,118641,116044
2000,2003,844,821,117008,116458
2000,2004,858,846,116782,116620
2000,2005,861,855,116919,116857
2000,2006,862,857,116860,116810
2000,2007,862,860,116825,116807
2000,2008,862,861,116472,116807
2001,2001,629,480,129430,91475
2001,2002,894,802,139925,113761
2001,2003,943,882,138161,136143
2001,2004,982,836,137395,136552
2001,2005,997,975,137269,136818
2001,2006,1002,987,137033,136838
2001,2007,1003,995,136998,136960
2001,2008,1007,998,137056,136995
2002,2002,618,451,134190,92349
2002,2003,872,793,143852,138461
2002,2004,952,887,143093,140904
2002,2005,1005,956,142360,141323
2002,2006,1033,1004,142004,141380
2002,2007,1093,1067,141715,141452
2002,2008,1110,1098,141627,141461
2003,2003,757,572,152678,111655
2003,2004,948,874,166131,158092
2003,2005,1035,974,166015,161823
2003,2006,1092,1041,165579,162556
2003,2007,1095,1069,165229,162802
2003,2008,1143,1085,163508,163257
2004,2004,743,557,144595,106032
2004,2005,915,840,154830,149157
2004,2006,976,921,154295,151729
2004,2007,1001,960,154228,152229
2004,2008,1032,989,153750,152613
2005,2005,789,563,137791,98270
2005,2006,948,882,154230,149504
2005,2007,1001,941,154307,152895
2005,2008,1032,987,153981,153154
2006,2006,988,636,159818,107131
2006,2007,1140,1064,178399,171332
2006,2008,1198,1132,179384,175602
2007,2007,1373,774,162205,114337
2007,2008,1596,1454,178425,171505
2008,2008,1556,952,176030,124470
