Accident Year,Valuation,Reported Claims
1997,1997-03,861
1997,1997-06,1668
1997,1997-09,2459
1997,1997-12,3255
1997,1998-03,3366
1997,1998-06,3385
1997,1998-09,3385
1997,1998-12,3374
1997,1999-03,3372
1997,1999-06,3374
1997,1999-09,3376
1997,1999-12,3376
1997,2007-12,3376
1997,2008-12,3376
1998,1998-03,878
1998,1998-06,1493
1998,1998-09,2248
1998,1998-12,2756
1998,1999-03,2826
1998,1999-06,2812
1998,1999-09,2805
1998,1999-12,2804
1998,2000-03,2785
1998,2000-06,2787
1998,2000-09,2787
1998,2000-12,2788
1998,2007-12,2788
1998,2008-12,2788
1999,1999-03,463
1999,1999-06,786
1999,1999-09,1166
1999,1999-12,1605
1999,2000-03,1673
1999,2000-06,1642
1999,2000-09,1646
1999,2000-12,1645
1999,2001-03,1649
1999,2001-06,1649
1999,2001-09,1649
1999,2001-12,1649
1999,2007-12,1649
1999,2008-12,1649
2000,2000-03,511
2000,2000-06,806
2000,2000-09,1112
2000,2000-12,1530
2000,2001-03,1684
2000,2001-06,1689
2000,2001-09,1686
2000,2001-12,1688
2000,2002-03,1686
2000,2002-06,1687
2000,2002-09,1687
2000,2002-12,1687
2000,2007-12,1687
2000,2008-12,1687
2001,2001-03,414
2001,2001-06,750
2001,2001-09,1264
2001,2001-12,1836
2001,2002-03,2088
2001,2002-06,2078
2001,2002-09,2081
2001,2002-12,2086
2001,2003-03,2086
2001,2003-06,2087
2001,2003-09,2087
2001,2003-12,2088
2001,2007-12,2088
2001,2008-12,2096
2002,2002-03,502
2002,2002-06,961
2002,2002-09,1424
2002,2002-12,2016
2002,2003-03,2307
2002,2003-06,2330
2002,2003-09,2342
2002,2003-12,2348
2002,2004-03,2352
2002,2004-06,2354
2002,2004-09,2355
2002,2004-12,2355
2002,2007-12,2355
2002,2008-12,2340
2003,2003-03,614
2003,2003-06,1231
2003,2003-09,1940
2003,2003-12,2576
2003,2004-03,2878
2003,2004-06,2936
2003,2004-09,2977
2003,2004-12,2988
2003,2005-03,2992
2003,2005-06,2992
2003,2005-09,2994
2003,2005-12,2994
2003,2007-12,2994
2003,2008-12,3007
2004,2004-03,833
2004,2004-06,1576
2004,2004-09,2181
2004,2004-12,3048
2004,2005-03,3407
2004,2005-06,3406
2004,2005-09,3397
2004,2005-12,3403
2004,2006-03,3407
2004,2006-06,3410
2004,2006-09,3412
2004,2006-12,3412
2004,2007-12,3412
2004,2008-12,3392
2005,2005-03,675
2005,2005-06,1248
2005,2005-09,1833
2005,2005-12,2601
2005,2006-03,2792
2005,2006-06,2791
2005,2006-09,2803
2005,2006-12,2810
2005,2007-03,2813
2005,2007-06,2814
2005,2007-09,2814
2005,2007-12,2814
2005,2008-12,2885
2006,2006-03,764
2006,2006-06,1374
2006,2006-09,2157
2006,2006-12,2531
2006,2007-03,2897
2006,2007-06,2930
2006,2007-09,2945
2006,2007-12,2949
2006,2008-12,3030
2007,2007-03,754
2007,2007-06,1468
2007,2007-09,1987
2007,2007-12,2463
2007,2008-12,2733
