Accident Year,Calendar Year,Paid Claims,Reported Claims,Earned Premium
1999,1999,470000,1011000,1000000
1999,2000,865000,1254000,1000000
1999,2001,1124000,1377000,1000000
1999,2002,1300000,1454000,1000000
1999,2003,1400000,1477000,1000000
1999,2004,1446000,1493000,1000000
1999,2005,1469000,1500000,1000000
1999,2006,1477000,1500000,1000000
1999,2007,1492000,1500000,1000000
1999,2008,1500000,1500000,1000000
2000,2000,493500,1061550,1050000
2000,2001,908250,1316700,1050000
2000,2002,1180200,1445850,1050000
2000,2003,1365000,1526700,1050000
2000,2004,1470000,1550850,1050000
2000,2005,1518300,1567650,1050000
2000,2006,1542450,1575000,1050000
2000,2007,1550850,1575000,1050000
2000,2008,1566600,1575000,1050000
2001,2001,518175,1114628,1102500
2001,2002,953663,1382535,1102500
2001,2003,1239210,1518143,1102500
2001,2004,1433250,1603035,1102500
2001,2005,1543500,1628393,1102500
2001,2006,1594215,1646033,1102500
2001,2007,1619573,1653750,1102500
2001,2008,1628393,1653750,1102500
2002,2002,544084,1170359,1157625
2002,2003,1001346,1451662,1157625
2002,2004,1301171,1594050,1157625
2002,2005,1504913,1683187,1157625
2002,2006,1620675,1709812,1157625
2002,2007,1673926,1728334,1157625
2002,2008,1700551,1736438,1157625
2003,2003,571288,1228877,1215506.25
2003,2004,1051413,1524245,1215506.25
2003,2005,1366229,1673752,1215506.25
2003,2006,1580158,1767346,1215506.25
2003,2007,1701709,1795303,1215506.25
2003,2008,1757622,1814751,1215506.25
2004,2004,599852,1290321,1276281.563
2004,2005,1103984,1600457,1276281.563
2004,2006,1434540,1757440,1276281.563
2004,2007,1659166,1855713,1276281.563
2004,2008,1786794,1885068,1276281.563
2005,2005,686001,1505438,1340095.641
2005,2006,1276601,1879580,1340095.641
2005,2007,1677289,2072490,1340095.641
2005,2008,1951435,2193545,1340095.641
2006,2006,793305,1776491,1407100.423
2006,2007,1493074,2232389,1407100.423
2006,2008,1983482,2471446,1407100.423
2007,2007,927874,2119832,1477455.444
2007,2008,1766164,2680487,1477455.444
2008,2008,1097644,2556695,1551328.216
