Accident Year,Calendar Year,Paid Claims,Reported Claims
1998,1998,18539254,37017487
1998,1999,33231039,43169009
1998,2000,40062008,45568919
1998,2001,43892039,46784558
1998,2002,45896535,47337318
1998,2003,46765422,47533264
1998,2004,47221322,47634419
1998,2005,47446877,47689655
1998,2006,47555456,47724678
1998,2007,47644187,47742304
1999,1999,20410193,38954484
1999,2000,36090684,46045718
1999,2001,43259402,48882924
1999,2002,47159241,50219672
1999,2003,49208532,50729292
1999,2004,50162043,50926779
1999,2005,50625757,51069285
1999,2006,50878808,51163540
1999,2007,51000534,51185767
2000,2000,22120843,41155776
2000,2001,38976014,49371478
2000,2002,46389282,52358476
2000,2003,50562385,53780322
2000,2004,52735280,54303086
2000,2005,53740101,54582950
2000,2006,54284334,54742188
2000,2007,54533225,54837929
2001,2001,22992259,42394069
2001,2002,40096198,50584112
2001,2003,47767835,53704296
2001,2004,52093916,55150118
2001,2005,54363436,55895583
2001,2006,55378801,56156727
2001,2007,55878421,56299562
2002,2002,24092782,44755243
2002,2003,41795313,52971643
2002,2004,49903803,56102312
2002,2005,54352884,57703851
2002,2006,56754376,58363564
2002,2007,57807215,58592712
2003,2003,24084451,45163102
2003,2004,41399612,52497731
2003,2005,49070332,55468551
2003,2006,53584201,57015411
2003,2007,55930654,57565344
2004,2004,24369770,45417309
2004,2005,41489863,52640322
2004,2006,49236678,55553673
2004,2007,53774672,56976657
2005,2005,25100697,46360869
2005,2006,42702229,53790061
2005,2007,50644994,56786410
2006,2006,25608776,46582684
2006,2007,43606497,54641339
2007,2007,27229969,48853563
