Accident Year,Calendar Year,Paid Claims,Reported Claims
1999,1999,294000,539000
1999,2000,497000,630000
1999,2001,588000,665000
1999,2002,644000,686000
1999,2003,672000,693000
1999,2004,686000,693000
1999,2005,693000,700000
1999,2006,693000,700000
1999,2007,700000,700000
1999,2008,700000,700000
2000,2000,308700,565950
2000,2001,521850,661500
2000,2002,617400,698250
2000,2003,676200,720300
2000,2004,705600,727650
2000,2005,720300,727650
2000,2006,727650,735000
2000,2007,727650,735000
2000,2008,735000,735000
2001,2001,324135,594248
2001,2002,547943,694575
2001,2003,648270,733163
2001,2004,710010,756315
2001,2005,740880,764033
2001,2006,756315,764033
2001,2007,764033,771750
2001,2008,764033,771750
2002,2002,340342,623960
2002,2003,575340,729304
2002,2004,680684,769821
2002,2005,745511,794131
2002,2006,777924,802234
2002,2007,794131,802234
2002,2008,802234,810338
2003,2003,357359,655158
2003,2004,604107,765769
2003,2005,714718,808312
2003,2006,782786,833837
2003,2007,816820,842346
2003,2008,833837,842346
2004,2004,375227,687916
2004,2005,634312,804057
2004,2006,750454,848727
2004,2007,821925,878745
2004,2008,857661,884463
2005,2005,393988,722312
2005,2006,666028,844260
2005,2007,787976,897355
2005,2008,863022,933377
2006,2006,413688,758427
2006,2007,699329,897702
2006,2008,827375,962808
2007,2007,434372,818067
2007,2008,734295,979922
2008,2008,456090,931185
