Accident Year,Calendar Year,Paid Claims,Reported Claims,Earned Premium
1998,1998,,,20000
1998,1999,,,20000
1998,2000,6309,11171,20000
1998,2001,8521,12380,20000
1998,2002,10082,13216,20000
1998,2003,11620,14067,20000
1998,2004,13242,14688,20000
1998,2005,14419,16366,20000
1998,2006,15311,16163,20000
1998,2007,15764,15835,20000
1998,2008,15822,15822,20000
1999,1999,,,31500
1999,2000,4666,13255,31500
1999,2001,9861,16405,31500
1999,2002,13971,19639,31500
1999,2003,18127,22473,31500
1999,2004,22032,23764,31500
1999,2005,23511,25094,31500
1999,2006,24146,24795,31500
1999,2007,24592,25071,31500
1999,2008,24817,25107,31500
2000,2000,1302,15676,45000
2000,2001,6513,18749,45000
2000,2002,12139,21900,45000
2000,2003,17828,27144,45000
2000,2004,24030,29488,45000
2000,2005,28853,34458,45000
2000,2006,33222,36949,45000
2000,2007,35902,37505,45000
2000,2008,36782,37246,45000
2001,2001,1539,11827,50000
2001,2002,5952,16004,50000
2001,2003,12319,21022,50000
2001,2004,18609,26578,50000
2001,2005,24387,34205,50000
2001,2006,31090,37136,50000
2001,2007,37070,38541,50000
2001,2008,38519,38798,50000
2002,2002,2318,12811,61183
2002,2003,7932,20370,61183
2002,2004,13822,26656,61183
2002,2005,22095,37667,61183
2002,2006,31945,44414,61183
2002,2007,40629,48701,61183
2002,2008,44437,48169,61183
2003,2003,1743,9651,69175
2003,2004,6240,16995,69175
2003,2005,12683,30354,69175
2003,2006,22892,40594,69175
2003,2007,34505,44231,69175
2003,2008,39320,44373,69175
2004,2004,2221,16995,99322
2004,2005,9898,40180,99322
2004,2006,25950,58866,99322
2004,2007,43439,71707,99322
2004,2008,52811,70288,99322
2005,2005,3043,28674,138151
2005,2006,12219,47432,138151
2005,2007,27073,70340,138151
2005,2008,40026,70655,138151
2006,2006,3531,27066,107578
2006,2007,11778,46783,107578
2006,2008,22819,48804,107578
2007,2007,3529,19477,62438
2007,2008,11865,31732,62438
2008,2008,3409,18632,47797
