development,origin,values
2001,2001,357848.0
2002,2002,352118.0
2003,2003,290507.0
2004,2004,310608.0
2005,2005,443160.0
2006,2006,396132.0
2007,2007,440832.0
2008,2008,359480.0
2009,2009,376686.0
2010,2010,344014.0
2002,2001,1124788.0
2003,2002,1236139.0
2004,2003,1292306.0
2005,2004,1418858.0
2006,2005,1136350.0
2007,2006,1333217.0
2008,2007,1288463.0
2009,2008,1421128.0
2010,2009,1363294.0
2003,2001,1735330.0
2004,2002,2170033.0
2005,2003,2218525.0
2006,2004,2195047.0
2007,2005,2128333.0
2008,2006,2180715.0
2009,2007,2419861.0
2010,2008,2864498.0
2004,2001,2218270.0
2005,2002,3353322.0
2006,2003,3235179.0
2007,2004,3757447.0
2008,2005,2897821.0
2009,2006,2985752.0
2010,2007,3483130.0
2005,2001,2745596.0
2006,2002,3799067.0
2007,2003,3985995.0
2008,2004,4029929.0
2009,2005,3402672.0
2010,2006,3691712.0
2006,2001,3319994.0
2007,2002,4120063.0
2008,2003,4132918.0
2009,2004,4381982.0
2010,2005,3873311.0
2007,2001,3466336.0
2008,2002,4647867.0
2009,2003,4628910.0
2010,2004,4588268.0
2008,2001,3606286.0
2009,2002,4914039.0
2010,2003,4909315.0
2009,2001,3833515.0
2010,2002,5339085.0
2010,2001,3901463.0
