development,origin,values
1978,1978,108651.0
1979,1979,98706.0
1980,1980,133106.0
1981,1981,125731.0
1982,1982,161765.0
1983,1983,226364.0
1984,1984,228411.0
1985,1985,277868.0
1986,1986,302519.0
1987,1987,393525.0
1988,1988,450855.0
1989,1989,572576.0
1990,1990,576021.0
1991,1991,580068.0
1979,1978,97529.0
1980,1979,95216.0
1981,1980,109743.0
1982,1981,141478.0
1983,1982,174888.0
1984,1983,203191.0
1985,1984,216837.0
1986,1985,262472.0
1987,1986,360015.0
1988,1987,388054.0
1989,1988,333667.0
1990,1989,568013.0
1991,1990,469724.0
1980,1978,75879.0
1981,1979,83025.0
1982,1980,96365.0
1983,1981,144336.0
1984,1982,168704.0
1985,1983,179136.0
1986,1984,242050.0
1987,1985,265375.0
1988,1986,343485.0
1989,1987,383425.0
1990,1988,398276.0
1991,1989,382277.0
1981,1978,69418.0
1982,1979,72396.0
1983,1980,130993.0
1984,1981,124854.0
1985,1982,156514.0
1986,1983,159835.0
1987,1984,249422.0
1988,1985,227499.0
1989,1986,224336.0
1990,1987,326081.0
1991,1988,382277.0
1982,1978,55542.0
1983,1979,104914.0
1984,1980,112860.0
1985,1981,107034.0
1986,1982,145495.0
1987,1983,156670.0
1988,1984,205644.0
1989,1985,221660.0
1990,1986,220334.0
1991,1987,271278.0
1983,1978,62875.0
1984,1979,94174.0
1985,1980,87108.0
1986,1981,122015.0
1987,1982,138954.0
1988,1983,153108.0
1989,1984,220996.0
1990,1985,247187.0
1991,1986,234427.0
1984,1978,63697.0
1985,1979,77103.0
1986,1980,99698.0
1987,1981,110514.0
1988,1982,125480.0
1989,1983,142187.0
1990,1984,169549.0
1991,1985,207918.0
1985,1978,72468.0
1986,1979,70538.0
1987,1980,92494.0
1988,1981,93517.0
1989,1982,106927.0
1990,1983,160637.0
1991,1984,166858.0
1986,1978,65114.0
1987,1979,71747.0
1988,1980,89224.0
1989,1981,95885.0
1990,1982,111179.0
1991,1983,139511.0
1987,1978,62436.0
1988,1979,77567.0
1989,1980,82117.0
1990,1981,97626.0
1991,1982,118054.0
1988,1978,57983.0
1989,1979,68934.0
1990,1980,78190.0
1991,1981,83692.0
1989,1978,56551.0
1990,1979,70467.0
1991,1980,78504.0
1990,1978,48528.0
1991,1979,43560.0
1991,1978,39023.0
