development,origin,incurred,paid
2001,2001,978.0,576.0
2002,2002,1844.0,866.0
2003,2003,2904.0,1412.0
2004,2004,3502.0,2286.0
2005,2005,2812.0,1868.0
2006,2006,2642.0,1442.0
2007,2007,5022.0,2044.0
2002,2001,2104.0,1804.0
2003,2002,2552.0,1948.0
2004,2003,4354.0,3758.0
2005,2004,5958.0,5292.0
2006,2005,4882.0,3778.0
2007,2006,4406.0,4010.0
2003,2001,2134.0,1970.0
2004,2002,2466.0,2162.0
2005,2003,4698.0,4252.0
2006,2004,6070.0,5724.0
2007,2005,4852.0,4648.0
2004,2001,2144.0,2024.0
2005,2002,2480.0,2232.0
2006,2003,4600.0,4416.0
2007,2004,6142.0,5850.0
2005,2001,2174.0,2074.0
2006,2002,2508.0,2284.0
2007,2003,4644.0,4494.0
2006,2001,2182.0,2102.0
2007,2002,2454.0,2348.0
2007,2001,2174.0,2131.0
