development,origin,values
2001,2001,58046.0
2002,2002,24492.0
2003,2003,32848.0
2004,2004,21439.0
2005,2005,40397.0
2006,2006,90748.0
2007,2007,62096.0
2008,2008,24983.0
2009,2009,13121.0
2002,2001,127970.0
2003,2002,141767.0
2004,2003,274682.0
2005,2004,529828.0
2006,2005,763394.0
2007,2006,951994.0
2008,2007,868480.0
2009,2008,284441.0
2003,2001,476599.0
2004,2002,984288.0
2005,2003,1522637.0
2006,2004,2900301.0
2007,2005,2920745.0
2008,2006,4210640.0
2009,2007,1954797.0
2004,2001,1027692.0
2005,2002,2142656.0
2006,2003,3203427.0
2007,2004,4999019.0
2008,2005,4989572.0
2009,2006,5866482.0
2005,2001,1360489.0
2006,2002,2961978.0
2007,2003,4445927.0
2008,2004,6460112.0
2009,2005,5648563.0
2006,2001,1647310.0
2007,2002,3683940.0
2008,2003,5158781.0
2009,2004,6853904.0
2007,2001,1819179.0
2008,2002,4048898.0
2009,2003,5342585.0
2008,2001,1906852.0
2009,2002,4115760.0
2009,2001,1950105.0
