development,origin,values
2001,2001,13109.0
2002,2002,14457.0
2003,2003,16075.0
2004,2004,15682.0
2005,2005,16551.0
2006,2006,15439.0
2007,2007,14629.0
2008,2008,17585.0
2009,2009,17419.0
2010,2010,16665.0
2011,2011,15471.0
2012,2012,15103.0
2013,2013,14540.0
2014,2014,14590.0
2015,2015,13967.0
2016,2016,12930.0
2017,2017,12539.0
2002,2001,20355.0
2003,2002,22038.0
2004,2003,22672.0
2005,2004,23464.0
2006,2005,23706.0
2007,2006,23796.0
2008,2007,21645.0
2009,2008,26288.0
2010,2009,25941.0
2011,2010,25370.0
2012,2011,23745.0
2013,2012,23393.0
2014,2013,22642.0
2015,2014,22336.0
2016,2015,21515.0
2017,2016,20111.0
2003,2001,21337.0
2004,2002,22627.0
2005,2003,23753.0
2006,2004,24465.0
2007,2005,24627.0
2008,2006,24866.0
2009,2007,22826.0
2010,2008,27623.0
2011,2009,27066.0
2012,2010,26909.0
2013,2011,25117.0
2014,2012,26809.0
2015,2013,23571.0
2016,2014,23440.0
2017,2015,22603.0
2004,2001,22043.0
2005,2002,23114.0
2006,2003,24052.0
2007,2004,25052.0
2008,2005,25573.0
2009,2006,25317.0
2010,2007,23599.0
2011,2008,27939.0
2012,2009,27761.0
2013,2010,27611.0
2014,2011,26378.0
2015,2012,27691.0
2016,2013,24127.0
2017,2014,24029.0
2005,2001,22401.0
2006,2002,23238.0
2007,2003,24206.0
2008,2004,25529.0
2009,2005,26046.0
2010,2006,26139.0
2011,2007,24992.0
2012,2008,28335.0
2013,2009,28043.0
2014,2010,27729.0
2015,2011,26971.0
2016,2012,28061.0
2017,2013,24210.0
2006,2001,22658.0
2007,2002,23312.0
2008,2003,24757.0
2009,2004,25708.0
2010,2005,26115.0
2011,2006,26154.0
2012,2007,25434.0
2013,2008,28638.0
2014,2009,28477.0
2015,2010,27861.0
2016,2011,27396.0
2017,2012,29183.0
2007,2001,22997.0
2008,2002,23440.0
2009,2003,24786.0
2010,2004,25752.0
2011,2005,26283.0
2012,2006,26175.0
2013,2007,25476.0
2014,2008,28715.0
2015,2009,28721.0
2016,2010,29830.0
2017,2011,27480.0
2008,2001,23158.0
2009,2002,23490.0
2010,2003,24807.0
2011,2004,25770.0
2012,2005,26481.0
2013,2006,26205.0
2014,2007,25549.0
2015,2008,28759.0
2016,2009,28878.0
2017,2010,29844.0
2009,2001,23492.0
2010,2002,23964.0
2011,2003,24823.0
2012,2004,25835.0
2013,2005,26701.0
2014,2006,26764.0
2015,2007,25604.0
2016,2008,29525.0
2017,2009,28948.0
2010,2001,23664.0
2011,2002,23976.0
2012,2003,24888.0
2013,2004,26075.0
2014,2005,26718.0
2015,2006,26818.0
2016,2007,25709.0
2017,2008,30302.0
2011,2001,23699.0
2012,2002,24048.0
2013,2003,24986.0
2014,2004,26082.0
2015,2005,26724.0
2016,2006,26836.0
2017,2007,25723.0
2012,2001,23904.0
2013,2002,24111.0
2014,2003,25401.0
2015,2004,26146.0
2016,2005,26728.0
2017,2006,26959.0
2013,2001,23960.0
2014,2002,24252.0
2015,2003,25681.0
2016,2004,26150.0
2017,2005,26735.0
2014,2001,23992.0
2015,2002,24538.0
2016,2003,25705.0
2017,2004,26167.0
2015,2001,23994.0
2016,2002,24540.0
2017,2003,25732.0
2016,2001,24001.0
2017,2002,24550.0
2017,2001,24002.0
