AccYrMo,ValYrMo,Line,Type,Limit,Deductible,TotalPayment,reportedCount,closedPaidCount,closedUnPaidCount,openCount,Paid,Outstanding,Incurred
2008-01,2008-02,Auto,PD,20000.0,1000,0.0,1,0,1,0,0.0,0,0.0
2008-01,2008-03,Auto,PD,8000.0,1000,7000.0,2,1,1,0,7000.0,0,7000.0
2008-01,2008-03,Auto,PD,15000.0,1000,31018.356691999998,4,3,1,0,31018.356691999998,0,31018.356691999998
2008-01,2008-03,Auto,PD,20000.0,1000,8896.658431,1,1,0,0,8896.658431,0,8896.658431
2008-01,2008-04,Auto,PD,20000.0,1000,19898.778972,4,4,0,0,19898.778972,0,19898.778972
2008-01,2008-05,Auto,PD,8000.0,1000,14000.0,2,2,0,0,14000.0,0,14000.0
2008-01,2008-05,Auto,PD,15000.0,1000,18147.128223,3,2,1,0,18147.128223,0,18147.128223
2008-01,2008-05,Auto,PD,20000.0,1000,25068.855713,2,2,0,0,25068.855713,0,25068.855713
2008-01,2008-06,Auto,PD,8000.0,1000,14000.0,2,2,0,0,14000.0,0,14000.0
2008-01,2008-06,Auto,PD,15000.0,1000,40352.302845,5,5,0,0,40352.302845,0,40352.302845
2008-01,2008-06,Auto,PD,20000.0,1000,35430.955238999995,7,6,1,0,35430.955238999995,0,35430.955238999995
2008-01,2008-07,Auto,PD,8000.0,1000,15035.050324,3,3,0,0,15035.050324,0,15035.050324
2008-01,2008-07,Auto,PD,15000.0,1000,3266.777322,1,1,0,0,3266.777322,0,3266.777322
2008-01,2008-08,Auto,PD,8000.0,1000,9747.567045,2,2,0,0,9747.567045,0,9747.567045
2008-01,2008-08,Auto,PD,15000.0,1000,31090.12769,3,3,0,0,31090.12769,0,31090.12769
2008-01,2008-08,Auto,PD,20000.0,1000,54216.738159,5,5,0,0,54216.738159,0,54216.738159
2008-01,2008-09,Auto,PD,8000.0,1000,7000.0,1,1,0,0,7000.0,0,7000.0
2008-01,2008-09,Auto,PD,15000.0,1000,0.0,2,0,2,0,0.0,0,0.0
2008-01,2008-09,Auto,PD,20000.0,1000,3332.3631530000002,2,1,1,0,3332.3631530000002,0,3332.3631530000002
2008-01,2008-10,Auto,PD,8000.0,1000,4220.183347,1,1,0,0,4220.183347,0,4220.183347
2008-01,2008-10,Auto,PD,15000.0,1000,29531.200783,3,3,0,0,29531.200783,0,29531.200783
2008-01,2008-10,Auto,PD,20000.0,1000,58020.845692999996,7,7,0,0,58020.845692999996,0,58020.845692999996
2008-01,2008-11,Auto,PD,8000.0,1000,10790.751092999999,2,2,0,0,10790.751092999999,0,10790.751092999999
2008-01,2008-11,Auto,PD,15000.0,1000,30090.947349000002,4,4,0,0,30090.947349000002,0,30090.947349000002
2008-01,2008-11,Auto,PD,20000.0,1000,9521.557658,2,2,0,0,9521.557658,0,9521.557658
2008-01,2008-12,Auto,PD,15000.0,1000,5645.615881000001,2,1,1,0,5645.615881000001,0,5645.615881000001
2008-01,2008-12,Auto,PD,20000.0,1000,20258.776588,4,4,0,0,20258.776588,0,20258.776588
2008-01,2009-01,Auto,PD,15000.0,1000,3587.43405,1,1,0,0,3587.43405,0,3587.43405
2008-01,2009-01,Auto,PD,20000.0,1000,16775.605941,4,3,1,0,16775.605941,0,16775.605941
2008-01,2009-02,Auto,PD,8000.0,1000,0.0,1,0,1,0,0.0,0,0.0
2008-01,2009-02,Auto,PD,15000.0,1000,32944.674991,3,3,0,0,32944.674991,0,32944.674991
2008-01,2009-02,Auto,PD,20000.0,1000,21029.1520854,4,4,0,0,21029.1520854,0,21029.1520854
2008-01,2009-03,Auto,PD,15000.0,1000,29885.310137,3,3,0,0,29885.310137,0,29885.310137
2008-01,2009-03,Auto,PD,20000.0,1000,12960.41526,1,1,0,0,12960.41526,0,12960.41526
2008-01,2009-04,Auto,PD,15000.0,1000,26075.12023,2,2,0,0,26075.12023,0,26075.12023
2008-01,2009-04,Auto,PD,20000.0,1000,46812.226789,4,4,0,0,46812.226789,0,46812.226789
2008-01,2009-05,Auto,PD,8000.0,1000,7000.0,1,1,0,0,7000.0,0,7000.0
2008-01,2009-05,Auto,PD,15000.0,1000,16203.019107,3,3,0,0,16203.019107,0,16203.019107
2008-01,2009-05,Auto,PD,20000.0,1000,22044.546678,3,2,1,0,22044.546678,0,22044.546678
2008-01,2009-06,Auto,PD,8000.0,1000,13906.106939,3,3,0,0,13906.106939,0,13906.106939
2008-01,2009-06,Auto,PD,15000.0,1000,27931.594109,3,3,0,0,27931.594109,0,27931.594109
2008-01,2009-06,Auto,PD,20000.0,1000,0.0,1,0,1,0,0.0,0,0.0
2008-01,2009-07,Auto,PD,20000.0,1000,19000.0,1,1,0,0,19000.0,0,19000.0
2008-01,2009-08,Auto,PD,8000.0,1000,7000.0,1,1,0,0,7000.0,0,7000.0
2008-01,2009-08,Auto,PD,15000.0,1000,10173.463075,2,2,0,0,10173.463075,0,10173.463075
2008-01,2009-08,Auto,PD,20000.0,1000,3508.3859350000002,1,1,0,0,3508.3859350000002,0,3508.3859350000002
2008-01,2009-09,Auto,PD,15000.0,1000,7437.519458,1,1,0,0,7437.519458,0,7437.519458
2008-01,2009-10,Auto,PD,15000.0,1000,29887.403,3,3,0,0,29887.403,0,29887.403
2008-01,2009-10,Auto,PD,20000.0,1000,36735.3305,2,2,0,0,36735.3305,0,36735.3305
2008-01,2009-10,Home,Dwelling,200000.0,20000,0.0,1,0,1,0,0.0,0,0.0
2008-01,2009-11,Auto,PD,20000.0,1000,33915.20509,2,2,0,0,33915.20509,0,33915.20509
2008-01,2009-11,Home,Dwelling,200000.0,20000,243678.87712999998,2,2,0,0,243678.87712999998,0,243678.87712999998
2008-01,2009-12,Auto,PD,8000.0,1000,7000.0,1,1,0,0,7000.0,0,7000.0
2008-01,2009-12,Auto,PD,15000.0,1000,0.0,1,0,1,0,0.0,0,0.0
2008-01,2009-12,Auto,PD,20000.0,1000,14437.716874999998,2,2,0,0,14437.716874999998,0,14437.716874999998
2008-01,2010-01,Auto,PD,8000.0,1000,7000.0,1,1,0,0,7000.0,0,7000.0
2008-01,2010-01,Auto,PD,15000.0,1000,11178.702170999999,2,2,0,0,11178.702170999999,0,11178.702170999999
2008-01,2010-01,Auto,PD,20000.0,1000,13616.444209,2,2,0,0,13616.444209,0,13616.444209
2008-01,2010-02,Auto,PD,15000.0,1000,7047.252696,2,1,1,0,7047.252696,0,7047.252696
2008-01,2010-02,Auto,PD,20000.0,1000,37138.836404999995,4,4,0,0,37138.836404999995,0,37138.836404999995
2008-01,2010-02,Home,Dwelling,200000.0,20000,248489.31199999998,2,2,0,0,248489.31199999998,0,248489.31199999998
2008-01,2010-02,Home,Dwelling,300000.0,20000,525416.23694,4,4,0,0,525416.23694,0,525416.23694
2008-01,2010-03,Home,Dwelling,200000.0,20000,106460.3973,1,1,0,0,106460.3973,0,106460.3973
2008-01,2010-03,Home,Dwelling,300000.0,20000,271098.59302000003,3,2,1,0,271098.59302000003,0,271098.59302000003
2008-01,2010-04,Auto,PD,15000.0,1000,14000.0,1,1,0,0,14000.0,0,14000.0
2008-01,2010-04,Home,Dwelling,200000.0,20000,112175.5559,1,1,0,0,112175.5559,0,112175.5559
2008-01,2010-04,Home,Dwelling,300000.0,20000,496945.72620000003,3,3,0,0,496945.72620000003,0,496945.72620000003
2008-01,2010-05,Auto,PD,20000.0,1000,7957.721181999999,1,1,0,0,7957.721181999999,0,7957.721181999999
2008-01,2010-05,Home,Dwelling,200000.0,20000,136809.3396,3,1,2,0,136809.3396,0,136809.3396
2008-01,2010-05,Home,Dwelling,300000.0,20000,351425.20538000006,3,3,0,0,351425.20538000006,0,351425.20538000006
2008-01,2010-06,Auto,PD,20000.0,1000,21209.812722000002,2,2,0,0,21209.812722000002,0,21209.812722000002
2008-01,2010-06,Home,Dwelling,200000.0,20000,266198.25541,2,2,0,0,266198.25541,0,266198.25541
2008-01,2010-06,Home,Dwelling,300000.0,20000,85555.8036,3,1,2,0,85555.8036,0,85555.8036
2008-01,2010-07,Auto,PD,8000.0,1000,7012.97882707,2,2,0,0,7012.97882707,0,7012.97882707
2008-01,2010-07,Home,Dwelling,200000.0,20000,422804.06971,5,3,2,0,422804.06971,0,422804.06971
2008-01,2010-07,Home,Dwelling,300000.0,20000,1183224.3951,9,6,3,0,1183224.3951,0,1183224.3951
2008-01,2010-08,Home,Dwelling,200000.0,20000,410260.9878,3,3,0,0,410260.9878,0,410260.9878
2008-01,2010-08,Home,Dwelling,300000.0,20000,1100429.48729,7,6,1,0,1100429.48729,0,1100429.48729
2008-01,2010-09,Auto,PD,15000.0,1000,3993.6346280000002,1,1,0,0,3993.6346280000002,0,3993.6346280000002
2008-01,2010-09,Home,Dwelling,200000.0,20000,257236.15788999997,2,2,0,0,257236.15788999997,0,257236.15788999997
2008-01,2010-09,Home,Dwelling,300000.0,20000,1202630.15078,7,7,0,0,1202630.15078,0,1202630.15078
2008-01,2010-10,Auto,PD,8000.0,1000,5160.0659049999995,1,1,0,0,5160.0659049999995,0,5160.0659049999995
2008-01,2010-10,Auto,PD,20000.0,1000,30700.07215,2,2,0,0,30700.07215,0,30700.07215
2008-01,2010-10,Home,Dwelling,200000.0,20000,720000.0,5,4,1,0,720000.0,0,720000.0
2008-01,2010-10,Home,Dwelling,300000.0,20000,1949577.2392599997,10,8,2,0,1949577.2392599997,0,1949577.2392599997
2008-01,2010-11,Auto,PD,20000.0,1000,12302.31712,1,1,0,0,12302.31712,0,12302.31712
2008-01,2010-11,Home,Dwelling,200000.0,20000,476620.3931,4,3,1,0,476620.3931,0,476620.3931
2008-01,2010-11,Home,Dwelling,300000.0,20000,769676.66612,9,4,5,0,769676.66612,0,769676.66612
2008-01,2010-12,Home,Dwelling,200000.0,20000,105353.9945,2,1,1,0,105353.9945,0,105353.9945
2008-01,2010-12,Home,Dwelling,300000.0,20000,510141.79469999997,4,2,2,0,510141.79469999997,0,510141.79469999997
2008-01,2011-01,Home,Dwelling,200000.0,20000,86247.02539,1,1,0,0,86247.02539,0,86247.02539
2008-01,2011-01,Home,Dwelling,300000.0,20000,280000.0,5,1,4,0,280000.0,0,280000.0
2008-01,2011-02,Auto,PD,20000.0,1000,5689.92624,1,1,0,0,5689.92624,0,5689.92624
2008-01,2011-02,Home,Dwelling,300000.0,20000,280000.0,1,1,0,0,280000.0,0,280000.0
2008-01,2011-03,Auto,PD,8000.0,1000,7000.0,1,1,0,0,7000.0,0,7000.0
2008-01,2011-03,Home,Dwelling,200000.0,20000,180000.0,1,1,0,0,180000.0,0,180000.0
2008-01,2011-04,Auto,PD,20000.0,1000,0.0,1,0,1,0,0.0,0,0.0
2008-01,2011-05,Auto,PD,20000.0,1000,8733.822202,1,1,0,0,8733.822202,0,8733.822202
2008-01,2011-07,Auto,PD,20000.0,1000,7324.582575,1,1,0,0,7324.582575,0,7324.582575
2008-01,2012-02,Auto,PD,20000.0,1000,6908.747829000001,1,1,0,0,6908.747829000001,0,6908.747829000001
2008-01,2012-10,Auto,PD,20000.0,1000,5659.301493999999,1,1,0,0,5659.301493999999,0,5659.301493999999
