origin,development,reportedCount,closedPaidCount,Paid,Incurred
2008-01,2008-02,1.0,,,
2008-01,2008-03,7.0,5.0,46915.015123000005,46915.015123000005
2008-01,2008-04,4.0,4.0,19898.778972,19898.778972
2008-01,2008-05,7.0,6.0,57215.983936,57215.983936
2008-01,2008-06,14.0,13.0,89783.258084,89783.258084
2008-01,2008-07,4.0,4.0,18301.827646,18301.827646
2008-01,2008-08,10.0,10.0,95054.43289400001,95054.43289400001
2008-01,2008-09,5.0,2.0,10332.363153,10332.363153
2008-01,2008-10,11.0,11.0,91772.229823,91772.229823
2008-01,2008-11,8.0,8.0,50403.2561,50403.2561
2008-01,2008-12,6.0,5.0,25904.392469000002,25904.392469000002
2008-01,2009-01,5.0,4.0,20363.039990999998,20363.039990999998
2008-01,2009-02,8.0,7.0,53973.8270764,53973.8270764
2008-01,2009-03,4.0,4.0,42845.725397,42845.725397
2008-01,2009-04,6.0,6.0,72887.347019,72887.347019
2008-01,2009-05,7.0,6.0,45247.565785,45247.565785
2008-01,2009-06,7.0,6.0,41837.701048,41837.701048
2008-01,2009-07,1.0,1.0,19000.0,19000.0
2008-01,2009-08,4.0,4.0,20681.84901,20681.84901
2008-01,2009-09,1.0,1.0,7437.519458,7437.519458
2008-01,2009-10,6.0,5.0,66622.7335,66622.7335
2008-01,2009-11,4.0,4.0,277594.08222,277594.08222
2008-01,2009-12,4.0,3.0,21437.716875,21437.716875
2008-01,2010-01,5.0,5.0,31795.146380000002,31795.146380000002
2008-01,2010-02,12.0,11.0,818091.638041,818091.638041
2008-01,2010-03,4.0,3.0,377558.99032000004,377558.99032000004
2008-01,2010-04,5.0,5.0,623121.2821000001,623121.2821000001
2008-01,2010-05,7.0,5.0,496192.266162,496192.266162
2008-01,2010-06,7.0,5.0,372963.8717319999,372963.8717319999
2008-01,2010-07,16.0,11.0,1613041.44363707,1613041.44363707
2008-01,2010-08,10.0,9.0,1510690.47509,1510690.47509
2008-01,2010-09,10.0,10.0,1463859.943298,1463859.943298
2008-01,2010-10,18.0,15.0,2705437.3773149997,2705437.3773149997
2008-01,2010-11,14.0,8.0,1258599.37634,1258599.37634
2008-01,2010-12,6.0,3.0,615495.7892,615495.7892
2008-01,2011-01,6.0,2.0,366247.02538999997,366247.02538999997
2008-01,2011-02,2.0,2.0,285689.92624,285689.92624
2008-01,2011-03,2.0,2.0,187000.0,187000.0
2008-01,2011-04,1.0,,,
2008-01,2011-05,1.0,1.0,8733.822202,8733.822202
2008-01,2011-07,1.0,1.0,7324.582575,7324.582575
2008-01,2012-02,1.0,1.0,6908.747829000001,6908.747829000001
2008-01,2012-10,1.0,1.0,5659.301493999999,5659.301493999999
2008-01,2013-01,1.0,1.0,7509.548931,7509.548931
2008-02,2008-03,5.0,5.0,28749.365091,28749.365091
2008-02,2008-04,4.0,3.0,22109.176517,22109.176517
2008-02,2008-05,9.0,9.0,79032.630204,79032.630204
2008-02,2008-06,7.0,7.0,63454.689223999994,63454.689223999994
