origin,development,reportedCount,closedPaidCount,Paid,Incurred
2008-01,2008-02,1.0,,,
2008-01,2008-03,12.0,10.0,75664.380214,75664.380214
2008-01,2008-04,12.0,11.0,90813.742423,90813.742423
2008-01,2008-05,21.0,20.0,164198.067483,164198.067483
2008-01,2008-06,33.0,31.0,243650.522231,243650.522231
2008-01,2008-07,19.0,19.0,132851.617108,132851.617108
2008-01,2008-08,30.0,30.0,243244.498981,243244.498981
2008-01,2008-09,19.0,15.0,91425.51598499999,91425.51598499999
2008-01,2008-10,23.0,21.0,197501.767328,197501.767328
2008-01,2008-11,26.0,25.0,192426.309775,192426.309775
2008-01,2008-12,16.0,13.0,71973.212491,71973.212491
2008-01,2009-01,22.0,21.0,150280.04252199997,150280.04252199997
2008-01,2009-02,25.0,22.0,150414.1476714,150414.1476714
2008-01,2009-03,18.0,18.0,146906.804199,146906.804199
2008-01,2009-04,19.0,17.0,154503.485224,154503.485224
2008-01,2009-05,19.0,18.0,145527.479086,145527.479086
2008-01,2009-06,17.0,15.0,98762.88362499999,98762.88362499999
2008-01,2009-07,11.0,10.0,109681.302001,109681.302001
2008-01,2009-08,14.0,12.0,101804.099441,101804.099441
2008-01,2009-09,17.0,16.0,118506.843356,118506.843356
2008-01,2009-10,14.0,12.0,310926.4009394001,310926.4009394001
2008-01,2009-11,15.0,14.0,614798.385926,614798.385926
2008-01,2009-12,13.0,10.0,280172.809846,280172.809846
2008-01,2010-01,14.0,13.0,83416.720445,83416.720445
2008-01,2010-02,23.0,20.0,1197379.8963710002,1197379.8963710002
2008-01,2010-03,20.0,18.0,1872657.9285520003,1872657.9285520003
2008-01,2010-04,15.0,14.0,1897210.509879,1897210.509879
2008-01,2010-05,23.0,19.0,1859150.403525,1859150.403525
2008-01,2010-06,32.0,28.0,3270322.175964,3270322.175964
2008-01,2010-07,40.0,26.0,3814762.04766507,3814762.04766507
2008-01,2010-08,32.0,27.0,3512464.1408399995,3512464.1408399995
2008-01,2010-09,21.0,18.0,2645872.900715,2645872.900715
2008-01,2010-10,48.0,31.0,5789622.476624999,5789622.476624999
2008-01,2010-11,41.0,29.0,4465473.858897001,4465473.858897001
2008-01,2010-12,20.0,9.0,1572166.180247,1572166.180247
2008-01,2011-01,19.0,12.0,2086635.8455599998,2086635.8455599998
2008-01,2011-02,14.0,6.0,1041303.33654,1041303.33654
2008-01,2011-03,8.0,7.0,860000.0,860000.0
2008-01,2011-04,4.0,3.0,361881.612725,361881.612725
2008-01,2011-05,2.0,1.0,8733.822202,8733.822202
2008-01,2011-06,1.0,1.0,14000.0,14000.0
2008-01,2011-07,2.0,2.0,8325.436497,8325.436497
2008-01,2011-08,1.0,1.0,8969.105379,8969.105379
2008-01,2011-09,2.0,2.0,24471.371758,24471.371758
2008-01,2011-10,1.0,1.0,7000.0,7000.0
