origin,development,reportedCount,closedPaidCount,Paid,Incurred
2008-01,2008-03,13.0,10.0,75664.380214,75664.380214
2008-01,2008-06,66.0,62.0,498662.332137,498662.332137
2008-01,2008-09,68.0,64.0,467521.632074,467521.632074
2008-01,2008-12,65.0,59.0,461901.28959400003,461901.28959400003
2008-01,2009-03,65.0,61.0,447600.99439239997,447600.99439239997
2008-01,2009-06,55.0,50.0,398793.84793499997,398793.84793499997
2008-01,2009-09,42.0,38.0,329992.24479799997,329992.24479799997
2008-01,2009-12,42.0,36.0,1205897.5967114,1205897.5967114
2008-01,2010-03,57.0,51.0,3153454.545368001,3153454.545368001
2008-01,2010-06,70.0,61.0,7026683.089368001,7026683.089368001
2008-01,2010-09,93.0,71.0,9973099.08922007,9973099.08922007
2008-01,2010-12,109.0,69.0,11827262.515769,11827262.515769
2008-01,2011-03,41.0,25.0,3987939.1821,3987939.1821
2008-01,2011-06,7.0,5.0,384615.434927,384615.434927
2008-01,2011-09,5.0,5.0,41765.913634000004,41765.913634000004
2008-01,2011-12,4.0,4.0,32219.317108,32219.317108
2008-01,2012-03,4.0,4.0,18897.91234,18897.91234
2008-01,2012-06,2.0,2.0,26000.0,26000.0
2008-01,2012-09,3.0,2.0,23607.561736,23607.561736
2008-01,2012-12,3.0,3.0,35054.659574,35054.659574
2008-01,2013-03,1.0,1.0,7509.548931,7509.548931
2008-01,2013-09,2.0,2.0,12308.203031000001,12308.203031000001
2008-01,2013-12,1.0,1.0,6803.3099010000005,6803.3099010000005
2008-01,2016-06,1.0,1.0,2005.192531,2005.192531
2008-04,2008-06,15.0,13.0,87192.932581,87192.932581
2008-04,2008-09,75.0,67.0,534435.6009406,534435.6009406
2008-04,2008-12,81.0,75.0,543236.6053427,543236.6053427
2008-04,2009-03,77.0,68.0,546349.0815713,546349.0815713
2008-04,2009-06,57.0,50.0,355269.990593,355269.990593
2008-04,2009-09,49.0,43.0,336975.655845,336975.655845
2008-04,2009-12,44.0,41.0,515906.637046,515906.637046
2008-04,2010-03,27.0,26.0,586991.948933,586991.948933
2008-04,2010-06,41.0,34.0,2184305.237927,2184305.237927
2008-04,2010-09,66.0,48.0,4911658.947745999,4911658.947745999
2008-04,2010-12,117.0,88.0,11192122.486655999,11192122.486655999
2008-04,2011-03,94.0,69.0,10820044.743170999,10820044.743170999
2008-04,2011-06,45.0,32.0,4482003.675737999,4482003.675737999
2008-04,2011-09,12.0,9.0,504981.63589700003,504981.63589700003
2008-04,2011-12,6.0,6.0,23722.261522,23722.261522
2008-04,2012-03,5.0,5.0,40285.074121,40285.074121
2008-04,2012-06,3.0,3.0,16969.586336,16969.586336
2008-04,2012-09,2.0,2.0,10112.936227,10112.936227
2008-04,2012-12,1.0,1.0,3970.064758,3970.064758
2008-04,2013-03,3.0,3.0,17565.6801,17565.6801
2008-04,2014-06,1.0,1.0,4755.551245000001,4755.551245000001
2008-04,2014-09,2.0,2.0,13956.608914,13956.608914
2008-04,2015-09,1.0,1.0,19000.0,19000.0
2008-07,2008-09,19.0,16.0,102334.538808,102334.538808
2008-07,2008-12,74.0,67.0,549766.0179489,549766.0179489
2008-07,2009-03,98.0,85.0,721547.3476410001,721547.3476410001
2008-07,2009-06,55.0,51.0,414970.839746,414970.839746
2008-07,2009-09,63.0,55.0,444031.036138,444031.036138
2008-07,2009-12,33.0,27.0,233996.153546,233996.153546
2008-07,2010-03,44.0,36.0,248680.60130570002,248680.60130570002
2008-07,2010-06,37.0,32.0,498294.138234,498294.138234
2008-07,2010-09,44.0,32.0,1487043.9539853998,1487043.9539853998
2008-07,2010-12,81.0,63.0,6622129.167094,6622129.167094
2008-07,2011-03,106.0,67.0,8919742.833342,8919742.833342
2008-07,2011-06,86.0,69.0,11274258.745209001,11274258.745209001
2008-07,2011-09,31.0,24.0,3059144.941868,3059144.941868
2008-07,2011-12,12.0,7.0,489286.200878,489286.200878
2008-07,2012-03,5.0,5.0,53315.986799,53315.986799
2008-07,2012-06,8.0,7.0,46342.59411500001,46342.59411500001
2008-07,2012-09,1.0,1.0,1030.151109,1030.151109
2008-07,2012-12,1.0,1.0,7571.562484,7571.562484
2008-07,2013-03,5.0,5.0,30002.900115,30002.900115
2008-07,2013-06,1.0,1.0,2569.502182,2569.502182
2008-07,2013-09,2.0,2.0,15578.971749,15578.971749
2008-07,2014-06,1.0,1.0,13274.48413,13274.48413
2008-07,2015-06,1.0,1.0,7000.0,7000.0
2008-07,2017-06,1.0,1.0,7000.0,7000.0
2008-10,2008-12,20.0,14.0,83539.050019,83539.050019
2008-10,2009-03,77.0,69.0,522851.130062,522851.130062
2008-10,2009-06,70.0,60.0,512815.418335,512815.418335
2008-10,2009-09,61.0,53.0,328571.11186049995,328571.11186049995
2008-10,2009-12,68.0,62.0,471261.6335588,471261.6335588
2008-10,2010-03,52.0,46.0,358432.3367121,358432.3367121
2008-10,2010-06,48.0,45.0,325792.53742199996,325792.53742199996
2008-10,2010-09,36.0,30.0,641321.417589,641321.417589
2008-10,2010-12,50.0,42.0,2384654.8137250002,2384654.8137250002
2008-10,2011-03,52.0,43.0,4161685.037621,4161685.037621
2008-10,2011-06,113.0,86.0,11225564.406147,11225564.406147
2008-10,2011-09,105.0,79.0,12499457.00034,12499457.00034
2008-10,2011-12,37.0,27.0,3823308.116391,3823308.116391
2008-10,2012-03,6.0,4.0,307164.920957,307164.920957
2008-10,2012-06,3.0,2.0,15987.937817999999,15987.937817999999
2008-10,2012-09,1.0,1.0,7000.0,7000.0
2008-10,2012-12,4.0,4.0,26811.068735999997,26811.068735999997
2008-10,2013-03,3.0,2.0,11318.598373,11318.598373
2008-10,2013-06,1.0,1.0,5820.930431000001,5820.930431000001
2008-10,2013-09,3.0,3.0,38309.353846,38309.353846
2008-10,2013-12,2.0,2.0,22065.219887,22065.219887
2008-10,2014-03,1.0,1.0,8351.518321,8351.518321
2008-10,2014-06,3.0,3.0,16807.742446,16807.742446
2008-10,2014-12,1.0,1.0,19000.0,19000.0
2008-10,2015-06,1.0,1.0,4751.868062,4751.868062
2008-10,2015-09,1.0,1.0,5182.60652,5182.60652
2008-10,2016-06,1.0,1.0,10406.17676,10406.17676
2009-01,2009-03,14.0,13.0,104702.860663,104702.860663
2009-01,2009-06,72.0,65.0,495225.930036,495225.930036
2009-01,2009-09,85.0,75.0,599663.369318,599663.369318
2009-01,2009-12,86.0,74.0,563784.7054444,563784.7054444
2009-01,2010-03,72.0,69.0,554211.9091598,554211.9091598
2009-01,2010-06,46.0,44.0,351337.7370556,351337.7370556
2009-01,2010-09,35.0,32.0,194295.38042,194295.38042
2009-01,2010-12,46.0,41.0,395305.1894886,395305.1894886
2009-01,2011-03,37.0,31.0,1561963.289064,1561963.289064
2009-01,2011-06,87.0,60.0,6277157.834775,6277157.834775
2009-01,2011-09,128.0,99.0,12218070.2764095,12218070.2764095
2009-01,2011-12,123.0,98.0,15429443.138466,15429443.138466
2009-01,2012-03,40.0,30.0,4043462.4754560003,4043462.4754560003
2009-01,2012-06,9.0,7.0,603315.593569,603315.593569
2009-01,2012-09,5.0,4.0,27999.858719,27999.858719
2009-01,2012-12,3.0,3.0,10421.848757,10421.848757
2009-01,2013-03,2.0,2.0,24956.977013,24956.977013
2009-01,2013-06,2.0,2.0,12526.350718,12526.350718
2009-01,2013-09,2.0,2.0,11268.992326,11268.992326
2009-01,2014-03,1.0,1.0,10024.03017,10024.03017
2009-01,2014-09,1.0,1.0,6443.641925,6443.641925
2009-01,2015-06,1.0,1.0,1656.505479,1656.505479
2009-01,2016-03,1.0,1.0,7000.0,7000.0
2009-04,2009-06,16.0,14.0,115057.954179,115057.954179
2009-04,2009-09,72.0,67.0,487759.60380100005,487759.60380100005
2009-04,2009-12,84.0,73.0,510906.17910699995,510906.17910699995
2009-04,2010-03,72.0,65.0,402564.70277699997,402564.70277699997
2009-04,2010-06,98.0,93.0,757263.27916,757263.27916
2009-04,2010-09,48.0,42.0,312328.37586699997,312328.37586699997
2009-04,2010-12,45.0,39.0,377624.07779600006,377624.07779600006
2009-04,2011-03,45.0,40.0,1191286.2954989998,1191286.2954989998
2009-04,2011-06,43.0,34.0,1903162.15282,1903162.15282
2009-04,2011-09,78.0,61.0,7747874.4855041,7747874.4855041
2009-04,2011-12,116.0,74.0,9664445.000588,9664445.000588
2009-04,2012-03,90.0,70.0,10956366.192623,10956366.192623
2009-04,2012-06,44.0,32.0,4481851.792025,4481851.792025
2009-04,2012-09,5.0,5.0,48621.446032,48621.446032
2009-04,2012-12,2.0,2.0,38000.0,38000.0
2009-04,2013-03,5.0,5.0,24929.560146,24929.560146
2009-04,2013-06,5.0,5.0,39221.949746,39221.949746
2009-04,2013-09,1.0,,,
2009-04,2013-12,4.0,3.0,7734.61629,7734.61629
2009-04,2014-06,1.0,1.0,3911.686172,3911.686172
2009-04,2014-09,1.0,1.0,12347.91746,12347.91746
2009-04,2015-09,1.0,1.0,14594.42227,14594.42227
2009-07,2009-09,17.0,15.0,126494.702244,126494.702244
2009-07,2009-12,73.0,69.0,462589.1471329,462589.1471329
2009-07,2010-03,85.0,74.0,552731.418396,552731.418396
2009-07,2010-06,82.0,77.0,673309.6358772,673309.6358772
2009-07,2010-09,66.0,60.0,394726.660755,394726.660755
2009-07,2010-12,53.0,46.0,388998.596168,388998.596168
2009-07,2011-03,46.0,41.0,569590.7289955,569590.7289955
2009-07,2011-06,18.0,16.0,362658.321046,362658.321046
2009-07,2011-09,33.0,29.0,1815884.9343963,1815884.9343963
2009-07,2011-12,90.0,69.0,7138601.120788001,7138601.120788001
2009-07,2012-03,120.0,83.0,11820034.081541,11820034.081541
2009-07,2012-06,100.0,70.0,11725104.597935,11725104.597935
2009-07,2012-09,34.0,25.0,3711279.994957,3711279.994957
2009-07,2012-12,18.0,16.0,257717.11806519996,257717.11806519996
2009-07,2013-03,6.0,6.0,23210.1225195,23210.1225195
2009-07,2013-06,4.0,4.0,46128.587495,46128.587495
2009-07,2013-09,3.0,2.0,14276.598369,14276.598369
2009-07,2013-12,3.0,3.0,26368.142759000002,26368.142759000002
2009-07,2014-03,1.0,1.0,3432.5327840000004,3432.5327840000004
2009-07,2014-06,1.0,1.0,17247.27314,17247.27314
2009-07,2014-09,2.0,2.0,5358.124972,5358.124972
2009-07,2015-06,1.0,1.0,2041.114146,2041.114146
2009-07,2017-06,1.0,1.0,5349.086903,5349.086903
2009-10,2009-12,24.0,21.0,143200.5720894,143200.5720894
2009-10,2010-03,75.0,63.0,447515.557024,447515.557024
2009-10,2010-06,88.0,80.0,597588.1510418,597588.1510418
2009-10,2010-09,80.0,74.0,482827.9181474999,482827.9181474999
2009-10,2010-12,72.0,64.0,510913.0178432,510913.0178432
2009-10,2011-03,54.0,51.0,317383.11846,317383.11846
2009-10,2011-06,36.0,33.0,402154.3103781,402154.3103781
2009-10,2011-09,38.0,32.0,831850.544091,831850.544091
2009-10,2011-12,46.0,42.0,2291899.410186,2291899.410186
2009-10,2012-03,77.0,57.0,4757076.185732,4757076.185732
2009-10,2012-06,102.0,68.0,9109733.497983001,9109733.497983001
2009-10,2012-09,104.0,74.0,11586399.787464,11586399.787464
2009-10,2012-12,29.0,24.0,3067052.8517899998,3067052.8517899998
2009-10,2013-03,9.0,6.0,306006.04133100004,306006.04133100004
2009-10,2013-06,7.0,6.0,20609.0526274,20609.0526274
2009-10,2013-09,6.0,6.0,33920.331667000006,33920.331667000006
2009-10,2013-12,4.0,4.0,37513.836976,37513.836976
2009-10,2014-03,3.0,3.0,20799.126448000003,20799.126448000003
2009-10,2014-06,1.0,1.0,4555.892746,4555.892746
2009-10,2014-09,2.0,2.0,13513.605644,13513.605644
2009-10,2015-06,1.0,,,
2009-10,2015-09,1.0,1.0,14000.0,14000.0
2009-10,2015-12,1.0,1.0,7000.0,7000.0
2009-10,2016-09,1.0,,,
2010-01,2010-03,15.0,14.0,106994.66056799999,106994.66056799999
2010-01,2010-06,67.0,60.0,439573.2482247,439573.2482247
2010-01,2010-09,94.0,84.0,725102.2658058,725102.2658058
2010-01,2010-12,86.0,76.0,557788.5910977,557788.5910977
2010-01,2011-03,81.0,72.0,560451.7332519,560451.7332519
2010-01,2011-06,59.0,52.0,427734.399391,427734.399391
2010-01,2011-09,42.0,37.0,361108.955202,361108.955202
2010-01,2011-12,41.0,35.0,766741.740942,766741.740942
2010-01,2012-03,47.0,41.0,2999669.3098583,2999669.3098583
2010-01,2012-06,79.0,58.0,6580283.962125,6580283.962125
2010-01,2012-09,121.0,82.0,10164053.098032,10164053.098032
2010-01,2012-12,90.0,71.0,10364881.86675,10364881.86675
2010-01,2013-03,50.0,36.0,6056852.170770999,6056852.170770999
2010-01,2013-06,12.0,9.0,269835.69177599996,269835.69177599996
2010-01,2013-09,6.0,6.0,35113.0749886,35113.0749886
2010-01,2013-12,4.0,4.0,34333.936301,34333.936301
2010-01,2014-03,1.0,1.0,13795.434630000002,13795.434630000002
2010-01,2014-06,4.0,4.0,28295.408792,28295.408792
2010-01,2014-09,1.0,1.0,4435.226606,4435.226606
2010-01,2014-12,2.0,2.0,27741.470316,27741.470316
2010-01,2015-03,1.0,1.0,11220.9614,11220.9614
2010-01,2015-09,2.0,2.0,11375.179605000001,11375.179605000001
2010-01,2015-12,1.0,1.0,8238.911561,8238.911561
2010-01,2016-03,1.0,1.0,7000.0,7000.0
2010-01,2017-06,1.0,1.0,2695.500913,2695.500913
2010-04,2010-06,22.0,19.0,117695.685471,117695.685471
2010-04,2010-09,101.0,92.0,766116.3064874001,766116.3064874001
2010-04,2010-12,86.0,76.0,569739.274271,569739.274271
2010-04,2011-03,80.0,69.0,504909.53938699997,504909.53938699997
2010-04,2011-06,73.0,66.0,473267.84003880003,473267.84003880003
2010-04,2011-09,49.0,48.0,384380.206536,384380.206536
2010-04,2011-12,47.0,43.0,396112.702037,396112.702037
2010-04,2012-03,52.0,46.0,995223.757285,995223.757285
2010-04,2012-06,62.0,46.0,2154280.929827,2154280.929827
2010-04,2012-09,74.0,56.0,5502003.19099,5502003.19099
2010-04,2012-12,116.0,91.0,12522244.912151,12522244.912151
2010-04,2013-03,111.0,71.0,10516580.92104,10516580.92104
2010-04,2013-06,40.0,27.0,3517094.8490282,3517094.8490282
2010-04,2013-09,9.0,8.0,60067.87074500001,60067.87074500001
2010-04,2013-12,8.0,7.0,60954.940759000005,60954.940759000005
2010-04,2014-03,5.0,5.0,31498.774397999998,31498.774397999998
2010-04,2014-06,6.0,6.0,56036.297792,56036.297792
2010-04,2014-09,2.0,1.0,15709.04144,15709.04144
2010-04,2014-12,2.0,1.0,6874.985259,6874.985259
2010-04,2015-06,3.0,3.0,35617.901171,35617.901171
2010-04,2015-09,1.0,1.0,10027.42636,10027.42636
2010-04,2016-12,1.0,1.0,7000.0,7000.0
2010-04,2017-09,1.0,1.0,7894.971774,7894.971774
2010-07,2010-09,19.0,16.0,90110.1283497,90110.1283497
2010-07,2010-12,92.0,81.0,586000.851151,586000.851151
2010-07,2011-03,93.0,85.0,695132.9514024,695132.9514024
2010-07,2011-06,93.0,86.0,707906.232204,707906.232204
2010-07,2011-09,61.0,52.0,374273.49490299996,374273.49490299996
2010-07,2011-12,52.0,48.0,384906.460996,384906.460996
2010-07,2012-03,58.0,54.0,425327.11554400006,425327.11554400006
2010-07,2012-06,45.0,33.0,708351.0990890001,708351.0990890001
2010-07,2012-09,48.0,37.0,1999554.6654669996,1999554.6654669996
2010-07,2012-12,58.0,37.0,3858698.819621,3858698.819621
2010-07,2013-03,117.0,97.0,14000409.83055,14000409.83055
2010-07,2013-06,94.0,71.0,10677842.324423999,10677842.324423999
2010-07,2013-09,39.0,30.0,4586179.125279199,4586179.125279199
2010-07,2013-12,16.0,14.0,608621.8271090001,608621.8271090001
2010-07,2014-03,7.0,6.0,53891.808132,53891.808132
2010-07,2014-06,8.0,7.0,47228.971787,47228.971787
2010-07,2014-09,3.0,3.0,11315.4053638,11315.4053638
2010-07,2014-12,6.0,5.0,26145.039127000004,26145.039127000004
2010-07,2015-03,4.0,3.0,22396.391520999998,22396.391520999998
2010-07,2015-06,1.0,1.0,3220.9508920000003,3220.9508920000003
2010-07,2016-03,1.0,1.0,19000.0,19000.0
2010-07,2016-06,1.0,1.0,5026.874645,5026.874645
2010-10,2010-12,23.0,17.0,108200.2475143,108200.2475143
2010-10,2011-03,74.0,66.0,510438.16192000004,510438.16192000004
2010-10,2011-06,89.0,81.0,613890.2349097,613890.2349097
2010-10,2011-09,92.0,80.0,570494.2928414,570494.2928414
2010-10,2011-12,76.0,72.0,597706.9271111,597706.9271111
2010-10,2012-03,62.0,56.0,386679.4725825,386679.4725825
2010-10,2012-06,55.0,51.0,361545.2655149,361545.2655149
2010-10,2012-09,41.0,34.0,499265.40524730005,499265.40524730005
2010-10,2012-12,47.0,36.0,2291202.5946159996,2291202.5946159996
2010-10,2013-03,79.0,60.0,5629928.724505,5629928.724505
2010-10,2013-06,131.0,97.0,13830319.660871,13830319.660871
2010-10,2013-09,101.0,76.0,12505215.788708998,12505215.788708998
2010-10,2013-12,43.0,34.0,4450192.44758,4450192.44758
2010-10,2014-03,11.0,10.0,107346.57087899999,107346.57087899999
2010-10,2014-06,5.0,5.0,27348.927926999997,27348.927926999997
2010-10,2014-09,9.0,9.0,60229.474997000005,60229.474997000005
2010-10,2014-12,7.0,7.0,73974.79741500001,73974.79741500001
2010-10,2015-03,2.0,2.0,10386.18716,10386.18716
2010-10,2015-06,3.0,2.0,7779.0383156,7779.0383156
2010-10,2015-09,1.0,1.0,9288.538907,9288.538907
2010-10,2015-12,2.0,2.0,16129.599961,16129.599961
2010-10,2016-03,1.0,1.0,5139.267537,5139.267537
2010-10,2016-06,2.0,2.0,17493.874273,17493.874273
2010-10,2016-09,1.0,1.0,5918.473408,5918.473408
2010-10,2016-12,1.0,1.0,5852.411423,5852.411423
2011-01,2011-03,13.0,13.0,85337.96694470002,85337.96694470002
2011-01,2011-06,69.0,66.0,521491.2781369999,521491.2781369999
2011-01,2011-09,91.0,82.0,541827.8159853,541827.8159853
2011-01,2011-12,83.0,77.0,587102.1612209999,587102.1612209999
2011-01,2012-03,85.0,76.0,590620.936454,590620.936454
2011-01,2012-06,68.0,63.0,648410.5095272,648410.5095272
2011-01,2012-09,46.0,42.0,377282.601702,377282.601702
2011-01,2012-12,45.0,38.0,447426.220001,447426.220001
2011-01,2013-03,47.0,40.0,2526874.945343,2526874.945343
2011-01,2013-06,90.0,63.0,6794065.200919,6794065.200919
2011-01,2013-09,138.0,91.0,10984060.653609,10984060.653609
2011-01,2013-12,114.0,88.0,13797638.648193002,13797638.648193002
2011-01,2014-03,37.0,28.0,3692104.831245,3692104.831245
2011-01,2014-06,11.0,9.0,65636.172401,65636.172401
2011-01,2014-09,6.0,6.0,49496.71136100001,49496.71136100001
2011-01,2014-12,6.0,5.0,42165.547098999996,42165.547098999996
2011-01,2015-03,3.0,3.0,30080.150191,30080.150191
2011-01,2015-06,1.0,1.0,3937.688022,3937.688022
2011-01,2015-09,5.0,5.0,52406.791703999996,52406.791703999996
2011-01,2015-12,1.0,1.0,3298.677356,3298.677356
2011-01,2016-06,1.0,1.0,8594.615119,8594.615119
2011-01,2016-09,1.0,1.0,4909.93844,4909.93844
2011-01,2016-12,1.0,1.0,6615.411381,6615.411381
2011-01,2017-03,1.0,1.0,5472.33611,5472.33611
2011-01,2017-12,1.0,1.0,4214.101320000001,4214.101320000001
2011-04,2011-06,22.0,18.0,87956.496616,87956.496616
2011-04,2011-09,97.0,86.0,733289.4028569001,733289.4028569001
2011-04,2011-12,105.0,96.0,714311.5360842,714311.5360842
2011-04,2012-03,89.0,82.0,628256.037467,628256.037467
2011-04,2012-06,70.0,65.0,512179.373944,512179.373944
2011-04,2012-09,62.0,56.0,447334.227879,447334.227879
2011-04,2012-12,54.0,50.0,381483.249042,381483.249042
2011-04,2013-03,38.0,30.0,521526.69243399997,521526.69243399997
2011-04,2013-06,48.0,42.0,2676238.0365159996,2676238.0365159996
2011-04,2013-09,98.0,71.0,6376400.924523,6376400.924523
2011-04,2013-12,109.0,72.0,9607883.02899,9607883.02899
2011-04,2014-03,105.0,71.0,10957898.420247,10957898.420247
2011-04,2014-06,47.0,38.0,6099578.524419,6099578.524419
2011-04,2014-09,15.0,13.0,395703.123779,395703.123779
2011-04,2014-12,5.0,3.0,19191.986077,19191.986077
2011-04,2015-03,8.0,8.0,61437.129149,61437.129149
2011-04,2015-06,1.0,1.0,4625.04866,4625.04866
2011-04,2015-09,2.0,2.0,12693.00003,12693.00003
2011-04,2015-12,1.0,1.0,7000.0,7000.0
2011-04,2016-03,4.0,4.0,29523.5581989,29523.5581989
2011-04,2016-09,3.0,3.0,13427.923378,13427.923378
2011-04,2017-03,1.0,1.0,4287.447633,4287.447633
2011-04,2017-09,1.0,1.0,2975.9086,2975.9086
2011-04,2017-12,1.0,1.0,5136.244393999999,5136.244393999999
2011-07,2011-09,23.0,22.0,158803.86749,158803.86749
2011-07,2011-12,81.0,74.0,546162.8251449999,546162.8251449999
2011-07,2012-03,104.0,93.0,709200.6724398,709200.6724398
2011-07,2012-06,86.0,74.0,569969.9496478001,569969.9496478001
2011-07,2012-09,81.0,70.0,557739.550194,557739.550194
2011-07,2012-12,69.0,60.0,633546.062331,633546.062331
2011-07,2013-03,45.0,41.0,372655.479553,372655.479553
2011-07,2013-06,35.0,30.0,704167.307046,704167.307046
2011-07,2013-09,43.0,36.0,2306373.8923230004,2306373.8923230004
2011-07,2013-12,88.0,58.0,7307485.549746,7307485.549746
2011-07,2014-03,106.0,83.0,11929309.306699,11929309.306699
2011-07,2014-06,108.0,73.0,10049988.4603367,10049988.4603367
2011-07,2014-09,42.0,32.0,3888285.994817,3888285.994817
2011-07,2014-12,15.0,13.0,1052808.190031,1052808.190031
2011-07,2015-03,6.0,5.0,30003.826341,30003.826341
