origin,development,reportedCount,closedPaidCount,Paid,Incurred
2008-01,2008-02,1.0,,,
2008-01,2008-03,12.0,10.0,75664.380214,75664.380214
2008-01,2008-04,12.0,11.0,90813.742423,90813.742423
2008-01,2008-05,28.0,25.0,194956.10347099998,194956.10347099998
2008-01,2008-06,41.0,39.0,300085.41882400005,300085.41882400005
2008-01,2008-07,47.0,42.0,347486.65171400004,347486.65171400004
2008-01,2008-08,50.0,49.0,367310.83190959995,367310.83190959995
2008-01,2008-09,46.0,40.0,287159.749391,287159.749391
2008-01,2008-10,57.0,53.0,441061.667081,441061.667081
2008-01,2008-11,58.0,54.0,406963.260604,406963.260604
2008-01,2008-12,31.0,27.0,157112.9672517,157112.9672517
2008-01,2009-01,50.0,46.0,329447.707775,329447.707775
2008-01,2009-02,42.0,38.0,330234.38195039995,330234.38195039995
2008-01,2009-03,50.0,45.0,334267.9862383,334267.9862383
2008-01,2009-04,33.0,29.0,246009.769271,246009.769271
2008-01,2009-05,41.0,38.0,290302.431641,290302.431641
2008-01,2009-06,38.0,33.0,217751.63761599996,217751.63761599996
2008-01,2009-07,25.0,22.0,191983.295966,191983.295966
2008-01,2009-08,27.0,23.0,193986.416501,193986.416501
2008-01,2009-09,39.0,36.0,280998.18817599997,280998.18817599997
2008-01,2009-10,29.0,25.0,409960.52297640004,409960.52297640004
2008-01,2009-11,29.0,27.0,703637.52831,703637.52831
2008-01,2009-12,28.0,25.0,608206.182471,608206.182471
2008-01,2010-01,26.0,25.0,186097.96596,186097.96596
2008-01,2010-02,32.0,28.0,1318060.67948,1318060.67948
2008-01,2010-03,26.0,24.0,2236287.848861,2236287.848861
2008-01,2010-04,31.0,28.0,2629286.097591,2629286.097591
2008-01,2010-05,34.0,29.0,2376202.016072,2376202.016072
2008-01,2010-06,46.0,38.0,4205500.213632001,4205500.213632001
2008-01,2010-07,55.0,36.0,4725901.7344510695,4725901.7344510695
2008-01,2010-08,58.0,47.0,5654586.563161001,5654586.563161001
2008-01,2010-09,46.0,36.0,4504269.7393539995,4504269.7393539995
2008-01,2010-10,79.0,57.0,9253862.378129,9253862.378129
2008-01,2010-11,75.0,54.0,7466461.281302,7466461.281302
2008-01,2010-12,72.0,46.0,6299061.342993999,6299061.342993999
2008-01,2011-01,49.0,34.0,5084908.960399,5084908.960399
2008-01,2011-02,49.0,29.0,3997151.705395,3997151.705395
2008-01,2011-03,37.0,31.0,5725923.259477001,5725923.259477001
2008-01,2011-04,28.0,19.0,3043545.4036339996,3043545.4036339996
2008-01,2011-05,14.0,10.0,1119360.062348,1119360.062348
2008-01,2011-06,10.0,8.0,703713.6446829999,703713.6446829999
2008-01,2011-07,8.0,6.0,307014.908734,307014.908734
2008-01,2011-08,2.0,2.0,188969.10537900002,188969.10537900002
