origin,development,reportedCount,closedPaidCount,Paid,Incurred
2008-01,2008-03,13.0,10.0,75664.380214,75664.380214
2008-01,2008-06,81.0,75.0,585855.2647180001,585855.2647180001
2008-01,2008-09,143.0,131.0,1001957.2330146,1001957.2330146
2008-01,2008-12,146.0,134.0,1005137.8949367,1005137.8949367
2008-01,2009-03,142.0,129.0,993950.0759637,993950.0759637
2008-01,2009-06,112.0,100.0,754063.8385279998,754063.8385279998
2008-01,2009-09,91.0,81.0,666967.9006429999,666967.9006429999
2008-01,2009-12,86.0,77.0,1721804.2337574,1721804.2337574
2008-01,2010-03,84.0,77.0,3740446.4943009997,3740446.4943009997
2008-01,2010-06,111.0,95.0,9210988.327295002,9210988.327295002
2008-01,2010-09,159.0,119.0,14884758.03696607,14884758.03696607
2008-01,2010-12,226.0,157.0,23019385.002425,23019385.002425
2008-01,2011-03,135.0,94.0,14807983.925271,14807983.925271
2008-01,2011-06,52.0,37.0,4866619.110664999,4866619.110664999
2008-01,2011-09,17.0,14.0,546747.549531,546747.549531
2008-01,2011-12,10.0,10.0,55941.578629999996,55941.578629999996
2008-01,2012-03,9.0,9.0,59182.986461,59182.986461
2008-01,2012-06,5.0,5.0,42969.586336,42969.586336
2008-01,2012-09,5.0,4.0,33720.497963,33720.497963
2008-01,2012-12,4.0,4.0,39024.724332,39024.724332
2008-01,2013-03,4.0,4.0,25075.229031000003,25075.229031000003
2008-01,2013-09,2.0,2.0,12308.203031000001,12308.203031000001
2008-01,2013-12,1.0,1.0,6803.3099010000005,6803.3099010000005
2008-01,2014-06,1.0,1.0,4755.551245000001,4755.551245000001
2008-01,2014-09,2.0,2.0,13956.608914,13956.608914
2008-01,2015-09,1.0,1.0,19000.0,19000.0
2008-01,2016-06,1.0,1.0,2005.192531,2005.192531
2008-07,2008-09,19.0,16.0,102334.538808,102334.538808
2008-07,2008-12,94.0,81.0,633305.0679679,633305.0679679
2008-07,2009-03,175.0,154.0,1244398.477703,1244398.477703
2008-07,2009-06,125.0,111.0,927786.2580810001,927786.2580810001
2008-07,2009-09,124.0,108.0,772602.1479984999,772602.1479984999
2008-07,2009-12,101.0,89.0,705257.7871047999,705257.7871047999
2008-07,2010-03,96.0,82.0,607112.9380178,607112.9380178
2008-07,2010-06,85.0,77.0,824086.6756560002,824086.6756560002
2008-07,2010-09,80.0,62.0,2128365.3715744,2128365.3715744
2008-07,2010-12,131.0,105.0,9006783.980819,9006783.980819
2008-07,2011-03,158.0,110.0,13081427.870963,13081427.870963
2008-07,2011-06,199.0,155.0,22499823.151355997,22499823.151355997
2008-07,2011-09,136.0,103.0,15558601.942208,15558601.942208
2008-07,2011-12,49.0,34.0,4312594.317268999,4312594.317268999
2008-07,2012-03,11.0,9.0,360480.907756,360480.907756
2008-07,2012-06,11.0,9.0,62330.531933000006,62330.531933000006
2008-07,2012-09,2.0,2.0,8030.151109,8030.151109
2008-07,2012-12,5.0,5.0,34382.63122,34382.63122
2008-07,2013-03,8.0,7.0,41321.498488000005,41321.498488000005
2008-07,2013-06,2.0,2.0,8390.432613,8390.432613
2008-07,2013-09,5.0,5.0,53888.325595,53888.325595
2008-07,2013-12,2.0,2.0,22065.219887,22065.219887
2008-07,2014-03,1.0,1.0,8351.518321,8351.518321
2008-07,2014-06,4.0,4.0,30082.226576,30082.226576
2008-07,2014-12,1.0,1.0,19000.0,19000.0
2008-07,2015-06,2.0,2.0,11751.868062,11751.868062
2008-07,2015-09,1.0,1.0,5182.60652,5182.60652
2008-07,2016-06,1.0,1.0,10406.17676,10406.17676
2008-07,2017-06,1.0,1.0,7000.0,7000.0
2009-01,2009-03,14.0,13.0,104702.860663,104702.860663
2009-01,2009-06,88.0,79.0,610283.884215,610283.884215
2009-01,2009-09,157.0,142.0,1087422.973119,1087422.973119
2009-01,2009-12,170.0,147.0,1074690.8845514,1074690.8845514
2009-01,2010-03,144.0,134.0,956776.6119368001,956776.6119368001
2009-01,2010-06,144.0,137.0,1108601.0162155998,1108601.0162155998
2009-01,2010-09,83.0,74.0,506623.75628699997,506623.75628699997
2009-01,2010-12,91.0,80.0,772929.2672846001,772929.2672846001
2009-01,2011-03,82.0,71.0,2753249.5845629997,2753249.5845629997
2009-01,2011-06,130.0,94.0,8180319.987594999,8180319.987594999
2009-01,2011-09,206.0,160.0,19965944.761913598,19965944.761913598
2009-01,2011-12,239.0,172.0,25093888.139054004,25093888.139054004
2009-01,2012-03,130.0,100.0,14999828.668079,14999828.668079
2009-01,2012-06,53.0,39.0,5085167.385593999,5085167.385593999
2009-01,2012-09,10.0,9.0,76621.304751,76621.304751
2009-01,2012-12,5.0,5.0,48421.848757,48421.848757
2009-01,2013-03,7.0,7.0,49886.537159,49886.537159
2009-01,2013-06,7.0,7.0,51748.300464,51748.300464
2009-01,2013-09,3.0,2.0,11268.992326,11268.992326
2009-01,2013-12,4.0,3.0,7734.61629,7734.61629
2009-01,2014-03,1.0,1.0,10024.03017,10024.03017
2009-01,2014-06,1.0,1.0,3911.686172,3911.686172
2009-01,2014-09,2.0,2.0,18791.559385,18791.559385
2009-01,2015-06,1.0,1.0,1656.505479,1656.505479
2009-01,2015-09,1.0,1.0,14594.42227,14594.42227
2009-01,2016-03,1.0,1.0,7000.0,7000.0
2009-07,2009-09,17.0,15.0,126494.702244,126494.702244
2009-07,2009-12,97.0,90.0,605789.7192223,605789.7192223
2009-07,2010-03,160.0,137.0,1000246.9754199999,1000246.9754199999
2009-07,2010-06,170.0,157.0,1270897.786919,1270897.786919
2009-07,2010-09,146.0,134.0,877554.5789025,877554.5789025
2009-07,2010-12,125.0,110.0,899911.6140112,899911.6140112
2009-07,2011-03,100.0,92.0,886973.8474554999,886973.8474554999
2009-07,2011-06,54.0,49.0,764812.6314241001,764812.6314241001
2009-07,2011-09,71.0,61.0,2647735.4784872998,2647735.4784872998
2009-07,2011-12,136.0,111.0,9430500.530974,9430500.530974
2009-07,2012-03,197.0,140.0,16577110.267273,16577110.267273
2009-07,2012-06,202.0,138.0,20834838.095918,20834838.095918
2009-07,2012-09,138.0,99.0,15297679.782421,15297679.782421
2009-07,2012-12,47.0,40.0,3324769.9698551996,3324769.9698551996
2009-07,2013-03,15.0,12.0,329216.1638505,329216.1638505
2009-07,2013-06,11.0,10.0,66737.6401224,66737.6401224
2009-07,2013-09,9.0,8.0,48196.930036,48196.930036
2009-07,2013-12,7.0,7.0,63881.979735,63881.979735
2009-07,2014-03,4.0,4.0,24231.659232,24231.659232
2009-07,2014-06,2.0,2.0,21803.165886000003,21803.165886000003
2009-07,2014-09,4.0,4.0,18871.730616,18871.730616
2009-07,2015-06,2.0,1.0,2041.114146,2041.114146
2009-07,2015-09,1.0,1.0,14000.0,14000.0
