origin,development,reportedCount,closedPaidCount,Paid,Incurred
2008-01,2008-06,94.0,85.0,661519.644932,661519.644932
2008-01,2008-12,289.0,265.0,2007095.1279512998,2007095.1279512998
2008-01,2009-06,254.0,229.0,1748013.9144916998,1748013.9144916998
2008-01,2009-12,177.0,158.0,2388772.1344004,2388772.1344004
2008-01,2010-06,195.0,172.0,12951434.821596,12951434.821596
2008-01,2010-12,385.0,276.0,37904143.03939107,37904143.03939107
2008-01,2011-06,187.0,131.0,19674603.035936,19674603.035936
2008-01,2011-12,27.0,24.0,602689.128161,602689.128161
2008-01,2012-06,14.0,14.0,102152.572797,102152.572797
2008-01,2012-12,9.0,8.0,72745.222295,72745.222295
2008-01,2013-06,4.0,4.0,25075.229031000003,25075.229031000003
2008-01,2013-12,3.0,3.0,19111.512932,19111.512932
2008-01,2014-06,1.0,1.0,4755.551245000001,4755.551245000001
2008-01,2014-12,2.0,2.0,13956.608914,13956.608914
2008-01,2015-12,1.0,1.0,19000.0,19000.0
2008-01,2016-06,1.0,1.0,2005.192531,2005.192531
2008-07,2008-12,113.0,97.0,735639.6067759,735639.6067759
2008-07,2009-06,300.0,265.0,2172184.735784,2172184.735784
2008-07,2009-12,225.0,197.0,1477859.9351033,1477859.9351033
2008-07,2010-06,181.0,159.0,1431199.6136738001,1431199.6136738001
2008-07,2010-12,211.0,167.0,11135149.3523934,11135149.3523934
2008-07,2011-06,357.0,265.0,35581251.022319,35581251.022319
2008-07,2011-12,185.0,137.0,19871196.259476997,19871196.259476997
2008-07,2012-06,22.0,18.0,422811.439689,422811.439689
2008-07,2012-12,7.0,7.0,42412.782329,42412.782329
2008-07,2013-06,10.0,9.0,49711.93110100001,49711.93110100001
2008-07,2013-12,7.0,7.0,75953.545482,75953.545482
2008-07,2014-06,5.0,5.0,38433.744897,38433.744897
2008-07,2014-12,1.0,1.0,19000.0,19000.0
2008-07,2015-06,2.0,2.0,11751.868062,11751.868062
2008-07,2015-12,1.0,1.0,5182.60652,5182.60652
2008-07,2016-06,1.0,1.0,10406.17676,10406.17676
2008-07,2017-06,1.0,1.0,7000.0,7000.0
2009-01,2009-06,102.0,92.0,714986.744878,714986.744878
2009-01,2009-12,327.0,289.0,2162113.8576704,2162113.8576704
2009-01,2010-06,288.0,271.0,2065377.6281524,2065377.6281524
2009-01,2010-12,174.0,154.0,1279553.0235716,1279553.0235716
2009-01,2011-06,212.0,165.0,10933569.572158,10933569.572158
2009-01,2011-12,445.0,332.0,45059832.90096759,45059832.90096759
2009-01,2012-06,183.0,139.0,20084996.053673,20084996.053673
2009-01,2012-12,15.0,14.0,125043.153508,125043.153508
2009-01,2013-06,14.0,14.0,101634.837623,101634.837623
2009-01,2013-12,7.0,5.0,19003.608615999998,19003.608615999998
2009-01,2014-06,2.0,2.0,13935.716342,13935.716342
2009-01,2014-12,2.0,2.0,18791.559385,18791.559385
2009-01,2015-06,1.0,1.0,1656.505479,1656.505479
2009-01,2015-12,1.0,1.0,14594.42227,14594.42227
2009-01,2016-06,1.0,1.0,7000.0,7000.0
2009-07,2009-12,114.0,105.0,732284.4214663,732284.4214663
2009-07,2010-06,330.0,294.0,2271144.762339,2271144.762339
2009-07,2010-12,271.0,244.0,1777466.1929137,1777466.1929137
2009-07,2011-06,154.0,141.0,1651786.4788795998,1651786.4788795998
2009-07,2011-12,207.0,172.0,12078236.0094613,12078236.0094613
2009-07,2012-06,399.0,278.0,37411948.363191,37411948.363191
2009-07,2012-12,185.0,139.0,18622449.7522762,18622449.7522762
2009-07,2013-06,26.0,22.0,395953.80397290003,395953.80397290003
2009-07,2013-12,16.0,15.0,112078.909771,112078.909771
2009-07,2014-06,6.0,6.0,46034.82511800001,46034.82511800001
2009-07,2014-12,4.0,4.0,18871.730616,18871.730616
2009-07,2015-06,2.0,1.0,2041.114146,2041.114146
2009-07,2015-12,2.0,2.0,21000.0,21000.0
2009-07,2016-12,1.0,,,
2009-07,2017-06,1.0,1.0,5349.086903,5349.086903
2010-01,2010-06,104.0,93.0,664263.5942637001,664263.5942637001
2010-01,2010-12,367.0,328.0,2618746.4376619,2618746.4376619
2010-01,2011-06,293.0,259.0,1966363.5120687,1966363.5120687
2010-01,2011-12,179.0,163.0,1908343.6047170002,1908343.6047170002
2010-01,2012-06,240.0,191.0,12729457.9590953,12729457.9590953
2010-01,2012-12,401.0,300.0,38553183.067923,38553183.067923
2010-01,2013-06,213.0,143.0,20360363.6326152,20360363.6326152
2010-01,2013-12,27.0,25.0,190469.82279360003,190469.82279360003
2010-01,2014-06,16.0,16.0,129625.915612,129625.915612
2010-01,2014-12,7.0,5.0,54760.723621,54760.723621
2010-01,2015-06,4.0,4.0,46838.862571,46838.862571
2010-01,2015-12,4.0,4.0,29641.517526000003,29641.517526000003
2010-01,2016-06,1.0,1.0,7000.0,7000.0
2010-01,2016-12,1.0,1.0,7000.0,7000.0
2010-01,2017-06,1.0,1.0,2695.500913,2695.500913
