origin,development,reportedCount,closedPaidCount,Paid,Incurred
2008-01,2008-02,1.0,,,
2008-01,2008-03,12.0,10.0,75664.380214,75664.380214
2008-01,2008-04,12.0,11.0,90813.742423,90813.742423
2008-01,2008-05,28.0,25.0,194956.10347099998,194956.10347099998
2008-01,2008-06,41.0,39.0,300085.41882400005,300085.41882400005
2008-01,2008-07,47.0,42.0,347486.65171400004,347486.65171400004
2008-01,2008-08,56.0,54.0,400010.61757759994,400010.61757759994
2008-01,2008-09,59.0,51.0,356794.502531,356794.502531
2008-01,2008-10,78.0,72.0,598532.3264488999,598532.3264488999
2008-01,2008-11,90.0,81.0,641536.425988,641536.425988
2008-01,2008-12,72.0,62.0,398374.2104677,398374.2104677
2008-01,2009-01,104.0,95.0,737024.3667189999,737024.3667189999
2008-01,2009-02,103.0,92.0,767128.0223244,767128.0223244
2008-01,2009-03,110.0,96.0,734196.1646233001,734196.1646233001
2008-01,2009-04,74.0,67.0,573174.2884419999,573174.2884419999
2008-01,2009-05,85.0,75.0,601188.569277,601188.569277
2008-01,2009-06,78.0,69.0,507487.23889,507487.23889
2008-01,2009-07,78.0,67.0,526200.2628885,526200.2628885
2008-01,2009-08,67.0,61.0,454101.038664,454101.038664
2008-01,2009-09,70.0,61.0,459268.747089,459268.747089
2008-01,2009-10,59.0,50.0,571280.7129102,571280.7129102
2008-01,2009-11,64.0,56.0,947098.6986779999,947098.6986779999
2008-01,2009-12,64.0,60.0,908682.6092739999,908682.6092739999
2008-01,2010-01,56.0,51.0,370147.418754,370147.418754
2008-01,2010-02,68.0,60.0,1562406.2184346998,1562406.2184346998
2008-01,2010-03,56.0,48.0,2415005.7951301,2415005.7951301
2008-01,2010-04,55.0,51.0,2784466.202525,2784466.202525
2008-01,2010-05,66.0,60.0,2704361.51247,2704361.51247
2008-01,2010-06,75.0,61.0,4546247.287956001,4546247.287956001
2008-01,2010-07,74.0,53.0,4878158.73188007,4878158.73188007
2008-01,2010-08,91.0,71.0,6097529.458914401,6097529.458914401
2008-01,2010-09,74.0,57.0,6037435.217746,6037435.217746
2008-01,2010-10,129.0,97.0,12533142.063418001,12533142.063418001
2008-01,2010-11,104.0,74.0,8906121.271781,8906121.271781
2008-01,2010-12,124.0,91.0,10586905.648044998,10586905.648044998
2008-01,2011-01,92.0,59.0,7956213.127873001,7956213.127873001
2008-01,2011-02,112.0,76.0,9153211.88931,9153211.88931
2008-01,2011-03,89.0,69.0,10779986.779050998,10779986.779050998
2008-01,2011-04,102.0,73.0,10131290.068068001,10131290.068068001
2008-01,2011-05,74.0,55.0,7953315.921109,7953315.921109
2008-01,2011-06,75.0,64.0,9281836.272843998,9281836.272843998
2008-01,2011-07,61.0,45.0,5951154.399074,5951154.399074
2008-01,2011-08,52.0,41.0,6502799.530383,6502799.530383
