origin,development,reportedCount,closedPaidCount,Paid,Incurred
2008-01,2008-03,13.0,10.0,75664.380214,75664.380214
2008-01,2008-06,81.0,75.0,585855.2647180001,585855.2647180001
2008-01,2008-09,162.0,147.0,1104291.7718226,1104291.7718226
2008-01,2008-12,240.0,215.0,1638442.9629046,1638442.9629046
2008-01,2009-03,317.0,283.0,2238348.5536667,2238348.5536667
2008-01,2009-06,237.0,211.0,1681850.096609,1681850.096609
2008-01,2009-09,215.0,189.0,1439570.0486415,1439570.0486415
2008-01,2009-12,187.0,166.0,2427062.0208622,2427062.0208622
2008-01,2010-03,180.0,159.0,4347559.4323188,4347559.4323188
2008-01,2010-06,196.0,172.0,10035075.002951002,10035075.002951002
2008-01,2010-09,239.0,181.0,17013123.408540472,17013123.408540472
2008-01,2010-12,357.0,262.0,32026168.983243994,32026168.983243994
2008-01,2011-03,293.0,204.0,27889411.796234,27889411.796234
2008-01,2011-06,251.0,192.0,27366442.262021,27366442.262021
2008-01,2011-09,153.0,117.0,16105349.491739001,16105349.491739001
2008-01,2011-12,59.0,44.0,4368535.895899,4368535.895899
2008-01,2012-03,20.0,18.0,419663.894217,419663.894217
2008-01,2012-06,16.0,14.0,105300.11826900001,105300.11826900001
2008-01,2012-09,7.0,6.0,41750.649072,41750.649072
2008-01,2012-12,9.0,9.0,73407.355552,73407.355552
2008-01,2013-03,12.0,11.0,66396.72751900001,66396.72751900001
2008-01,2013-06,2.0,2.0,8390.432613,8390.432613
2008-01,2013-09,7.0,7.0,66196.528626,66196.528626
2008-01,2013-12,3.0,3.0,28868.529788,28868.529788
2008-01,2014-03,1.0,1.0,8351.518321,8351.518321
2008-01,2014-06,5.0,5.0,34837.777820999996,34837.777820999996
2008-01,2014-09,2.0,2.0,13956.608914,13956.608914
2008-01,2014-12,1.0,1.0,19000.0,19000.0
2008-01,2015-06,2.0,2.0,11751.868062,11751.868062
2008-01,2015-09,2.0,2.0,24182.60652,24182.60652
2008-01,2016-06,2.0,2.0,12411.369291,12411.369291
2008-01,2017-06,1.0,1.0,7000.0,7000.0
2009-01,2009-03,14.0,13.0,104702.860663,104702.860663
2009-01,2009-06,88.0,79.0,610283.884215,610283.884215
2009-01,2009-09,174.0,157.0,1213917.675363,1213917.675363
2009-01,2009-12,267.0,237.0,1680480.6037737,1680480.6037737
2009-01,2010-03,304.0,271.0,1957023.5873568002,1957023.5873568002
2009-01,2010-06,314.0,294.0,2379498.8031345997,2379498.8031345997
2009-01,2010-09,229.0,208.0,1384178.3351895,1384178.3351895
2009-01,2010-12,216.0,190.0,1672840.8812958002,1672840.8812958002
2009-01,2011-03,182.0,163.0,3640223.4320184994,3640223.4320184994
2009-01,2011-06,184.0,143.0,8945132.6190191,8945132.6190191
2009-01,2011-09,277.0,221.0,22613680.240400903,22613680.240400903
2009-01,2011-12,375.0,283.0,34524388.670028,34524388.670028
2009-01,2012-03,327.0,240.0,31576938.935351998,31576938.935351998
2009-01,2012-06,255.0,177.0,25920005.481511995,25920005.481511995
2009-01,2012-09,148.0,108.0,15374301.087172002,15374301.087172002
2009-01,2012-12,52.0,45.0,3373191.8186121997,3373191.8186121997
2009-01,2013-03,22.0,19.0,379102.7010095,379102.7010095
2009-01,2013-06,18.0,17.0,118485.9405864,118485.9405864
2009-01,2013-09,12.0,10.0,59465.922362,59465.922362
2009-01,2013-12,11.0,10.0,71616.596025,71616.596025
2009-01,2014-03,5.0,5.0,34255.689402,34255.689402
2009-01,2014-06,3.0,3.0,25714.852058000004,25714.852058000004
2009-01,2014-09,6.0,6.0,37663.290000999994,37663.290000999994
2009-01,2015-06,3.0,2.0,3697.619625,3697.619625
2009-01,2015-09,2.0,2.0,28594.42227,28594.42227
2009-01,2015-12,1.0,1.0,7000.0,7000.0
2009-01,2016-03,1.0,1.0,7000.0,7000.0
2009-01,2016-09,1.0,,,
2009-01,2017-06,1.0,1.0,5349.086903,5349.086903
2010-01,2010-03,15.0,14.0,106994.66056799999,106994.66056799999
2010-01,2010-06,89.0,79.0,557268.9336957,557268.9336957
2010-01,2010-09,214.0,192.0,1581328.7006429,1581328.7006429
2010-01,2010-12,287.0,250.0,1821728.964034,1821728.964034
2010-01,2011-03,328.0,292.0,2270932.3859612998,2270932.3859612998
2010-01,2011-06,314.0,285.0,2222798.7065435,2222798.7065435
2010-01,2011-09,244.0,217.0,1690256.9494824,1690256.9494824
2010-01,2011-12,216.0,198.0,2145467.8310861,2145467.8310861
2010-01,2012-03,219.0,197.0,4806899.6552698,4806899.6552698
2010-01,2012-06,241.0,188.0,9804461.2565559,9804461.2565559
2010-01,2012-09,284.0,209.0,18164876.3597363,18164876.3597363
2010-01,2012-12,311.0,235.0,29037028.193138,29037028.193138
2010-01,2013-03,357.0,264.0,36203771.646865994,36203771.646865994
2010-01,2013-06,277.0,204.0,28295092.526099198,28295092.526099198
2010-01,2013-09,155.0,120.0,17186575.859721802,17186575.859721802
2010-01,2013-12,71.0,59.0,5154103.151749001,5154103.151749001
2010-01,2014-03,24.0,22.0,206532.58803900002,206532.58803900002
2010-01,2014-06,23.0,22.0,158909.60629800003,158909.60629800003
2010-01,2014-09,15.0,14.0,91689.1484068,91689.1484068
2010-01,2014-12,17.0,15.0,134736.29211699998,134736.29211699998
2010-01,2015-03,7.0,6.0,44003.540081,44003.540081
2010-01,2015-06,7.0,6.0,46617.8903786,46617.8903786
2010-01,2015-09,4.0,4.0,30691.144871999997,30691.144871999997
2010-01,2015-12,3.0,3.0,24368.511522,24368.511522
2010-01,2016-03,3.0,3.0,31139.267537,31139.267537
2010-01,2016-06,3.0,3.0,22520.748917999998,22520.748917999998
2010-01,2016-09,1.0,1.0,5918.473408,5918.473408
2010-01,2016-12,2.0,2.0,12852.411423,12852.411423
2010-01,2017-06,1.0,1.0,2695.500913,2695.500913
2010-01,2017-09,1.0,1.0,7894.971774,7894.971774
2011-01,2011-03,13.0,13.0,85337.96694470002,85337.96694470002
2011-01,2011-06,91.0,84.0,609447.7747529999,609447.7747529999
2011-01,2011-09,211.0,190.0,1433921.0863322,1433921.0863322
2011-01,2011-12,291.0,264.0,1996525.1482632,1996525.1482632
2011-01,2012-03,363.0,326.0,2519967.5163599,2519967.5163599
2011-01,2012-06,324.0,287.0,2391166.7773209997,2391166.7773209997
2011-01,2012-09,283.0,254.0,2033042.6534249003,2033042.6534249003
2011-01,2012-12,244.0,220.0,2113735.05433,2113735.05433
2011-01,2013-03,196.0,168.0,3873219.153842,3873219.153842
2011-01,2013-06,224.0,181.0,10616846.169013,10616846.169013
2011-01,2013-09,328.0,242.0,20517324.204295002,20517324.204295002
2011-01,2013-12,359.0,258.0,33049237.170522206,33049237.170522206
