origin,development,reportedCount,closedPaidCount,Paid,Incurred
2008-01,2008-06,94.0,85.0,661519.644932,661519.644932
2008-01,2008-12,402.0,362.0,2742734.7347271997,2742734.7347271997
2008-01,2009-06,554.0,494.0,3920198.6502757003,3920198.6502757003
2008-01,2009-12,402.0,355.0,3866632.0695037,3866632.0695037
2008-01,2010-06,376.0,331.0,14382634.435269801,14382634.435269801
2008-01,2010-12,596.0,443.0,49039292.39178447,49039292.39178447
2008-01,2011-06,544.0,396.0,55255854.058255,55255854.058255
2008-01,2011-12,212.0,161.0,20473885.387638,20473885.387638
2008-01,2012-06,36.0,32.0,524964.012486,524964.012486
2008-01,2012-12,16.0,15.0,115158.004624,115158.004624
2008-01,2013-06,14.0,13.0,74787.160132,74787.160132
2008-01,2013-12,10.0,10.0,95065.058414,95065.058414
2008-01,2014-06,6.0,6.0,43189.296142,43189.296142
2008-01,2014-12,3.0,3.0,32956.608914,32956.608914
2008-01,2015-06,2.0,2.0,11751.868062,11751.868062
2008-01,2015-12,2.0,2.0,24182.60652,24182.60652
2008-01,2016-06,2.0,2.0,12411.369291,12411.369291
2008-01,2017-06,1.0,1.0,7000.0,7000.0
2009-01,2009-06,102.0,92.0,714986.744878,714986.744878
2009-01,2009-12,441.0,394.0,2894398.2791367,2894398.2791367
2009-01,2010-06,618.0,565.0,4336522.3904914,4336522.3904914
2009-01,2010-12,445.0,398.0,3057019.2164853,3057019.2164853
2009-01,2011-06,366.0,306.0,12585356.0510376,12585356.0510376
2009-01,2011-12,652.0,504.0,57138068.91042891,57138068.91042891
2009-01,2012-06,582.0,417.0,57496944.41686399,57496944.41686399
2009-01,2012-12,200.0,153.0,18747492.905784197,18747492.905784197
2009-01,2013-06,40.0,36.0,497588.6415959,497588.6415959
2009-01,2013-12,23.0,20.0,131082.518387,131082.518387
2009-01,2014-06,8.0,8.0,59970.54146000001,59970.54146000001
2009-01,2014-12,6.0,6.0,37663.290000999994,37663.290000999994
2009-01,2015-06,3.0,2.0,3697.619625,3697.619625
2009-01,2015-12,3.0,3.0,35594.422269999995,35594.422269999995
2009-01,2016-06,1.0,1.0,7000.0,7000.0
2009-01,2016-12,1.0,,,
2009-01,2017-06,1.0,1.0,5349.086903,5349.086903
2010-01,2010-06,104.0,93.0,664263.5942637001,664263.5942637001
2010-01,2010-12,501.0,442.0,3403057.6646769,3403057.6646769
2010-01,2011-06,642.0,577.0,4493731.092504799,4493731.092504799
2010-01,2011-12,460.0,415.0,3835724.7805685,3835724.7805685
2010-01,2012-06,460.0,385.0,14611360.911825702,14611360.911825702
2010-01,2012-12,595.0,444.0,47201904.5528743,47201904.5528743
2010-01,2013-06,634.0,468.0,64498864.17296519,64498864.17296519
2010-01,2013-12,226.0,179.0,22340679.011470802,22340679.011470802
2010-01,2014-06,47.0,44.0,365442.194337,365442.194337
2010-01,2014-12,32.0,29.0,226425.4405238,226425.4405238
2010-01,2015-06,14.0,12.0,90621.4304596,90621.4304596
2010-01,2015-12,7.0,7.0,55059.656394,55059.656394
2010-01,2016-06,6.0,6.0,53660.016455,53660.016455
2010-01,2016-12,3.0,3.0,18770.884831,18770.884831
2010-01,2017-06,1.0,1.0,2695.500913,2695.500913
2010-01,2017-12,1.0,1.0,7894.971774,7894.971774
