origin,development,reportedCount,closedPaidCount,Paid,Incurred
2008-01,2008-12,496.0,447.0,3404254.3796591996,3404254.3796591996
2008-01,2009-12,956.0,849.0,7786830.7197794,7786830.7197794
2008-01,2010-12,972.0,774.0,63421926.82705427,63421926.82705427
2008-01,2011-12,756.0,557.0,75729739.44589299,75729739.44589299
2008-01,2012-12,52.0,47.0,640122.01711,640122.01711
2008-01,2013-12,24.0,23.0,169852.218546,169852.218546
2008-01,2014-12,9.0,9.0,76145.905056,76145.905056
2008-01,2015-12,4.0,4.0,35934.474582,35934.474582
2008-01,2016-12,2.0,2.0,12411.369291,12411.369291
2008-01,2017-12,1.0,1.0,7000.0,7000.0
2009-01,2009-12,543.0,486.0,3609385.0240146997,3609385.0240146997
2009-01,2010-12,1063.0,963.0,7393541.606976699,7393541.606976699
2009-01,2011-12,1018.0,810.0,69723424.9614665,69723424.9614665
2009-01,2012-12,782.0,570.0,76244437.3226482,76244437.3226482
2009-01,2013-12,63.0,56.0,628671.1599829,628671.1599829
2009-01,2014-12,14.0,14.0,97633.83146100001,97633.83146100001
2009-01,2015-12,6.0,5.0,39292.041895,39292.041895
2009-01,2016-12,2.0,1.0,7000.0,7000.0
2009-01,2017-12,1.0,1.0,5349.086903,5349.086903
2010-01,2010-12,605.0,535.0,4067321.258940601,4067321.258940601
2010-01,2011-12,1102.0,992.0,8329455.8730732985,8329455.8730732985
2010-01,2012-12,1055.0,829.0,61813265.4647,61813265.4647
2010-01,2013-12,860.0,647.0,86839543.184436,86839543.184436
2010-01,2014-12,79.0,73.0,591867.6348608,591867.6348608
2010-01,2015-12,21.0,19.0,145681.0868536,145681.0868536
2010-01,2016-12,9.0,9.0,72430.901286,72430.901286
2010-01,2017-12,2.0,2.0,10590.472687,10590.472687
2011-01,2011-12,606.0,551.0,4125231.9762931,4125231.9762931
2011-01,2012-12,1214.0,1087.0,9057912.001435801,9057912.001435801
2011-01,2013-12,1107.0,849.0,68056626.69767219,68056626.69767219
2011-01,2014-12,808.0,605.0,80173142.09744969,80173142.09744969
2011-01,2015-12,72.0,67.0,774716.0850499999,774716.0850499999
2011-01,2016-12,32.0,30.0,229830.67305610003,229830.67305610003
2011-01,2017-12,12.0,12.0,73221.518031,73221.518031
2012-01,2012-12,673.0,605.0,4584035.5370068,4584035.5370068
2012-01,2013-12,1308.0,1174.0,9417142.698216,9417142.698216
2012-01,2014-12,1066.0,866.0,63793343.9925074,63793343.9925074
2012-01,2015-12,817.0,593.0,74323862.0701191,74323862.0701191
2012-01,2016-12,73.0,66.0,469705.8805055,469705.8805055
2012-01,2017-12,33.0,31.0,231382.638654,231382.638654
2013-01,2013-12,742.0,651.0,4889623.2031132,4889623.2031132
2013-01,2014-12,1392.0,1256.0,9718118.3707267,9718118.3707267
2013-01,2015-12,1145.0,932.0,69810761.11827719,69810761.11827719
2013-01,2016-12,820.0,627.0,76691809.08943419,76691809.08943419
2013-01,2017-12,78.0,71.0,562724.0688829999,562724.0688829999
2014-01,2014-12,814.0,736.0,5546158.04150944,5546158.04150944
2014-01,2015-12,1488.0,1315.0,10861968.2949856,10861968.2949856
2014-01,2016-12,1176.0,954.0,60848665.83247619,60848665.83247619
2014-01,2017-12,867.0,662.0,77713138.88161331,77713138.88161331
2015-01,2015-12,871.0,795.0,5909028.849205999,5909028.849205999
2015-01,2016-12,1684.0,1505.0,11518581.65815413,11518581.65815413
2015-01,2017-12,1260.0,1018.0,63486969.341848396,63486969.341848396
2016-01,2016-12,889.0,792.0,6080962.4036314,6080962.4036314
2016-01,2017-12,1748.0,1559.0,12507094.49071,12507094.49071
2017-01,2017-12,952.0,844.0,6396536.192116,6396536.192116
