development,origin,incurred,paid
1995-01,1995,44,3
1996-01,1996,42,1
1997-01,1997,17,1
1998-01,1998,10,1
1999-01,1999,13,1
2000-01,2000,2,1
2001-01,2001,4,1
2002-01,2002,2,1
2003-01,2003,3,1
2004-01,2004,4,4
2005-01,2005,21,1
2006-01,2006,13,1
1995-04,1995,96,24
1996-04,1996,136,16
1997-04,1997,43,17
1998-04,1998,43,11
1999-04,1999,41,14
2000-04,2000,29,6
2001-04,2001,25,7
2002-04,2002,34,10
2003-04,2003,19,9
2004-04,2004,38,16
2005-04,2005,79,7
1995-07,1995,194,65
1996-07,1996,202,54
1997-07,1997,135,55
1998-07,1998,107,40
1999-07,1999,109,47
2000-07,2000,88,28
2001-07,2001,151,37
2002-07,2002,115,45
2003-07,2003,90,31
2004-07,2004,138,49
2005-07,2005,115,36
1995-10,1995,420,141
1996-10,1996,365,135
1997-10,1997,380,166
1998-10,1998,238,93
1999-10,1999,306,113
2000-10,2000,254,100
2001-10,2001,333,128
2002-10,2002,290,110
2003-10,2003,692,94
2004-10,2004,371,170
2005-10,2005,299,97
1996-01,1995,621,273
1997-01,1996,541,260
1998-01,1997,530,296
1999-01,1998,393,185
2000-01,1999,481,225
2001-01,2000,380,194
2002-01,2001,777,271
2003-01,2002,472,236
2004-01,2003,597,192
2005-01,2004,583,289
2006-01,2005,422,183
1996-04,1995,715,418
1997-04,1996,651,398
1998-04,1997,714,442
1999-04,1998,574,343
2000-04,1999,657,379
2001-04,2000,501,297
2002-04,2001,663,427
2003-04,2002,809,442
2004-04,2003,929,299
2005-04,2004,756,442
1996-07,1995,748,550
1997-07,1996,817,594
1998-07,1997,813,587
1999-07,1998,732,474
2000-07,1999,821,570
2001-07,2000,615,415
2002-07,2001,856,579
2003-07,2002,1054,668
2004-07,2003,883,408
2005-07,2004,902,601
1996-10,1995,906,692
1997-10,1996,988,758
1998-10,1997,945,701
1999-10,1998,894,643
2000-10,1999,1007,715
2001-10,2000,735,521
2002-10,2001,988,722
2003-10,2002,1543,890
2004-10,2003,1117,792
2005-10,2004,1111,793
1997-01,1995,950,814
