development,origin,values
1981,1981,5012.0
1982,1982,106.0
1983,1983,3410.0
1984,1984,5655.0
1985,1985,1092.0
1986,1986,1513.0
1987,1987,557.0
1988,1988,1351.0
1989,1989,3133.0
1990,1990,2063.0
1982,1981,8269.0
1983,1982,4285.0
1984,1983,8992.0
1985,1984,11555.0
1986,1985,9565.0
1987,1986,6445.0
1988,1987,4020.0
1989,1988,6947.0
1990,1989,5395.0
1983,1981,10907.0
1984,1982,5396.0
1985,1983,13873.0
1986,1984,15766.0
1987,1985,15836.0
1988,1986,11702.0
1989,1987,10946.0
1990,1988,13112.0
1984,1981,11805.0
1985,1982,10666.0
1986,1983,16141.0
1987,1984,21266.0
1988,1985,22169.0
1989,1986,12935.0
1990,1987,12314.0
1985,1981,13539.0
1986,1982,13782.0
1987,1983,18735.0
1988,1984,23425.0
1989,1985,25955.0
1990,1986,15852.0
1986,1981,16181.0
1987,1982,15599.0
1988,1983,22214.0
1989,1984,26083.0
1990,1985,26180.0
1987,1981,18009.0
1988,1982,15496.0
1989,1983,22863.0
1990,1984,27067.0
1988,1981,18608.0
1989,1982,16169.0
1990,1983,23466.0
1989,1981,18662.0
1990,1982,16704.0
1990,1981,18834.0
