development,origin,incurred,paid
2000,2000,4479,2685
2001,2001,4667,2712
2002,2002,4676,2566
2003,2003,5099,2716
2004,2004,4527,2555
2005,2005,4750,2738
2006,2006,5104,2920
2007,2007,5526,3287
2008,2008,5122,2775
2001,2000,5650,4132
2002,2001,6049,4232
2003,2002,6207,4058
2004,2003,6292,4228
2005,2004,5915,4017
2006,2005,6041,4125
2007,2006,6770,4781
2008,2007,7204,5006
2002,2000,6639,5323
2003,2001,6988,5314
2004,2002,7064,5388
2005,2003,7237,5587
2006,2004,6986,5460
2007,2005,7144,5683
2008,2006,7821,6285
2003,2000,7224,6059
2004,2001,7355,6062
2005,2002,7601,6480
2006,2003,7749,6661
2007,2004,7780,6743
2008,2005,7771,6793
2004,2000,7224,6406
2005,2001,7819,6786
2006,2002,7984,7141
2007,2003,8386,7626
2008,2004,8197,7479
2005,2000,7464,6812
2006,2001,8171,7375
2007,2002,8390,7801
2008,2003,8604,8040
2006,2000,7778,7208
2007,2001,8296,7687
2008,2002,8628,8109
2007,2000,7892,7440
2008,2001,8518,7934
2008,2000,7987,7618
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
