origin_year,1,2,3,4,5,6,7,8,9,10
1981,5012,8269.0,10907.0,11805.0,13539.0,16181.0,18009.0,18608.0,18662.0,18834.0
1982,106,4285.0,5396.0,10666.0,13782.0,15599.0,15496.0,16169.0,16704.0,
1983,3410,8992.0,13873.0,16141.0,18735.0,22214.0,22863.0,23466.0,,
1984,5655,11555.0,15766.0,21266.0,23425.0,26083.0,27067.0,,,
1985,1092,9565.0,15836.0,22169.0,25955.0,26180.0,,,,
1986,1513,6445.0,11702.0,12935.0,15852.0,,,,,
1987,557,4020.0,10946.0,12314.0,,,,,,
1988,1351,6947.0,13112.0,,,,,,,
1989,3133,5395.0,,,,,,,,
1990,2063,,,,,,,,,
