Package,Record_Date,Stars
casact/chainladder-python,Mon Oct 09 2017 00:15:42 GMT-0700 (Pacific Daylight Time),1
casact/chainladder-python,Thu Sep 27 2018 20:31:36 GMT-0700 (Pacific Daylight Time),9
casact/chainladder-python,Tue Jun 11 2019 01:50:51 GMT-0700 (Pacific Daylight Time),17
casact/chainladder-python,Sat Jan 25 2020 15:33:28 GMT-0800 (Pacific Standard Time),25
casact/chainladder-python,Fri Apr 24 2020 06:26:04 GMT-0700 (Pacific Daylight Time),33
casact/chainladder-python,Mon Jul 13 2020 22:36:41 GMT-0700 (Pacific Daylight Time),41
casact/chainladder-python,Thu Sep 17 2020 04:04:50 GMT-0700 (Pacific Daylight Time),49
casact/chainladder-python,Sat Jan 30 2021 11:29:55 GMT-0800 (Pacific Standard Time),57
casact/chainladder-python,Tue Apr 13 2021 04:39:58 GMT-0700 (Pacific Daylight Time),65
casact/chainladder-python,Thu Jun 17 2021 06:19:00 GMT-0700 (Pacific Daylight Time),73
casact/chainladder-python,Mon Nov 01 2021 12:03:23 GMT-0700 (Pacific Daylight Time),81
casact/chainladder-python,Sat Dec 25 2021 18:39:47 GMT-0800 (Pacific Standard Time),89
casact/chainladder-python,Thu Mar 10 2022 09:50:37 GMT-0800 (Pacific Standard Time),97
casact/chainladder-python,Sun Jun 05 2022 22:43:51 GMT-0700 (Pacific Daylight Time),105
casact/chainladder-python,Wed Jul 27 2022 06:14:14 GMT-0700 (Pacific Daylight Time),113
casact/chainladder-python,Sat Jul 30 2022 07:44:13 GMT-0700 (Pacific Daylight Time),121
casact/chainladder-python,Mon Oct 03 2022 18:21:38 GMT-0700 (Pacific Daylight Time),122
lifelib-dev/lifelib,Thu Mar 01 2018 21:21:43 GMT-0800 (Pacific Standard Time),1
lifelib-dev/lifelib,Fri Jul 06 2018 11:08:25 GMT-0700 (Pacific Daylight Time),7
lifelib-dev/lifelib,Sun Feb 24 2019 22:14:55 GMT-0800 (Pacific Standard Time),13
lifelib-dev/lifelib,Thu Jun 20 2019 10:16:10 GMT-0700 (Pacific Daylight Time),19
lifelib-dev/lifelib,Sat Sep 28 2019 07:18:21 GMT-0700 (Pacific Daylight Time),25
lifelib-dev/lifelib,Sat Feb 15 2020 02:13:13 GMT-0800 (Pacific Standard Time),31
lifelib-dev/lifelib,Sun May 03 2020 10:26:16 GMT-0700 (Pacific Daylight Time),37
lifelib-dev/lifelib,Wed Jul 22 2020 06:18:20 GMT-0700 (Pacific Daylight Time),43
lifelib-dev/lifelib,Sun Jan 24 2021 13:39:13 GMT-0800 (Pacific Standard Time),49
lifelib-dev/lifelib,Mon Apr 05 2021 22:04:33 GMT-0700 (Pacific Daylight Time),55
lifelib-dev/lifelib,Wed Aug 04 2021 10:57:17 GMT-0700 (Pacific Daylight Time),61
lifelib-dev/lifelib,Fri Nov 12 2021 09:11:37 GMT-0800 (Pacific Standard Time),67
lifelib-dev/lifelib,Sat Mar 12 2022 20:32:35 GMT-0800 (Pacific Standard Time),73
lifelib-dev/lifelib,Thu May 12 2022 18:40:15 GMT-0700 (Pacific Daylight Time),79
