Repository,Date,Stars
casact/chainladder-python,Mon Oct 09 2017 00:15:42 GMT-0700 (Pacific Daylight Time),1
casact/chainladder-python,Sat Mar 23 2019 15:57:41 GMT-0700 (Pacific Daylight Time),14
casact/chainladder-python,Mon Feb 10 2020 17:04:34 GMT-0800 (Pacific Standard Time),27
casact/chainladder-python,Thu Jul 23 2020 08:20:10 GMT-0700 (Pacific Daylight Time),40
casact/chainladder-python,Fri Jan 15 2021 07:53:01 GMT-0800 (Pacific Standard Time),53
casact/chainladder-python,Sat May 22 2021 19:47:40 GMT-0700 (Pacific Daylight Time),66
casact/chainladder-python,Mon Nov 08 2021 10:38:44 GMT-0800 (Pacific Standard Time),79
casact/chainladder-python,Mon Feb 14 2022 16:04:12 GMT-0800 (Pacific Standard Time),92
casact/chainladder-python,Sun Jul 03 2022 18:58:32 GMT-0700 (Pacific Daylight Time),105
casact/chainladder-python,Mon Aug 01 2022 21:31:37 GMT-0700 (Pacific Daylight Time),118
casact/chainladder-python,Thu Apr 27 2023 21:57:44 GMT-0700 (Pacific Daylight Time),131
casact/chainladder-python,Fri Aug 11 2023 00:57:18 GMT-0700 (Pacific Daylight Time),144
casact/chainladder-python,Fri Dec 01 2023 23:43:06 GMT-0800 (Pacific Standard Time),157
casact/chainladder-python,Thu Jun 13 2024 15:52:29 GMT-0700 (Pacific Daylight Time),170
casact/chainladder-python,Mon Nov 04 2024 07:49:48 GMT-0800 (Pacific Standard Time),183
casact/chainladder-python,Sat Feb 22 2025 15:07:03 GMT-0800 (Pacific Standard Time),196
casact/chainladder-python,Wed Jul 02 2025 10:42:28 GMT-0700 (Pacific Daylight Time),206
lifelib-dev/lifelib,Thu Mar 01 2018 21:21:43 GMT-0800 (Pacific Standard Time),1
lifelib-dev/lifelib,Wed Feb 20 2019 08:38:17 GMT-0800 (Pacific Standard Time),11
lifelib-dev/lifelib,Fri Jul 05 2019 10:00:02 GMT-0700 (Pacific Daylight Time),21
lifelib-dev/lifelib,Sat Feb 15 2020 02:13:13 GMT-0800 (Pacific Standard Time),31
lifelib-dev/lifelib,Sat Jun 27 2020 04:55:22 GMT-0700 (Pacific Daylight Time),41
lifelib-dev/lifelib,Thu Feb 11 2021 20:38:54 GMT-0800 (Pacific Standard Time),51
lifelib-dev/lifelib,Sat Aug 28 2021 02:25:14 GMT-0700 (Pacific Daylight Time),61
lifelib-dev/lifelib,Sat Mar 12 2022 20:32:35 GMT-0800 (Pacific Standard Time),71
lifelib-dev/lifelib,Sat Jul 09 2022 05:28:00 GMT-0700 (Pacific Daylight Time),81
lifelib-dev/lifelib,Thu Nov 10 2022 08:56:12 GMT-0800 (Pacific Standard Time),91
lifelib-dev/lifelib,Thu Apr 27 2023 21:57:06 GMT-0700 (Pacific Daylight Time),101
lifelib-dev/lifelib,Thu Aug 17 2023 11:47:27 GMT-0700 (Pacific Daylight Time),111
lifelib-dev/lifelib,Thu Dec 21 2023 13:07:14 GMT-0800 (Pacific Standard Time),121
lifelib-dev/lifelib,Thu Mar 07 2024 11:31:20 GMT-0800 (Pacific Standard Time),131
lifelib-dev/lifelib,Sun Jun 30 2024 07:09:44 GMT-0700 (Pacific Daylight Time),141
lifelib-dev/lifelib,Sun Dec 08 2024 01:35:48 GMT-0800 (Pacific Standard Time),151
lifelib-dev/lifelib,Wed Jul 02 2025 09:39:07 GMT-0700 (Pacific Daylight Time),161
lifelib-dev/lifelib,Wed Jul 02 2025 10:42:30 GMT-0700 (Pacific Daylight Time),161
mages/ChainLadder,Wed Jan 07 2015 10:15:00 GMT-0800 (Pacific Standard Time),1
mages/ChainLadder,Mon Feb 29 2016 01:56:39 GMT-0800 (Pacific Standard Time),6
mages/ChainLadder,Thu Nov 24 2016 11:52:44 GMT-0800 (Pacific Standard Time),11
mages/ChainLadder,Thu Aug 31 2017 10:50:41 GMT-0700 (Pacific Daylight Time),16
mages/ChainLadder,Sat Mar 03 2018 03:47:25 GMT-0800 (Pacific Standard Time),21
mages/ChainLadder,Sun Jul 29 2018 08:39:37 GMT-0700 (Pacific Daylight Time),26
mages/ChainLadder,Tue Apr 23 2019 01:38:02 GMT-0700 (Pacific Daylight Time),31
mages/ChainLadder,Thu Aug 01 2019 13:23:41 GMT-0700 (Pacific Daylight Time),36
mages/ChainLadder,Tue Mar 31 2020 05:58:14 GMT-0700 (Pacific Daylight Time),41
mages/ChainLadder,Tue May 26 2020 07:50:34 GMT-0700 (Pacific Daylight Time),46
mages/ChainLadder,Thu Jan 21 2021 05:38:45 GMT-0800 (Pacific Standard Time),51
mages/ChainLadder,Sat Nov 06 2021 16:16:43 GMT-0700 (Pacific Daylight Time),56
mages/ChainLadder,Fri Oct 14 2022 10:49:30 GMT-0700 (Pacific Daylight Time),61
mages/ChainLadder,Wed Mar 08 2023 17:46:31 GMT-0800 (Pacific Standard Time),66
mages/ChainLadder,Thu Jul 20 2023 12:36:27 GMT-0700 (Pacific Daylight Time),71
mages/ChainLadder,Sat Sep 21 2024 08:38:24 GMT-0700 (Pacific Daylight Time),76
mages/ChainLadder,Sun Jan 19 2025 03:52:39 GMT-0800 (Pacific Standard Time),81
mages/ChainLadder,Wed Jul 02 2025 10:42:31 GMT-0700 (Pacific Daylight Time),83
fumitoh/modelx,Mon Feb 05 2018 12:07:49 GMT-0800 (Pacific Standard Time),1
fumitoh/modelx,Thu Feb 21 2019 23:55:54 GMT-0800 (Pacific Standard Time),7
fumitoh/modelx,Wed Sep 25 2019 07:32:32 GMT-0700 (Pacific Daylight Time),13
fumitoh/modelx,Sun Apr 05 2020 02:38:29 GMT-0700 (Pacific Daylight Time),19
fumitoh/modelx,Wed Dec 09 2020 09:12:56 GMT-0800 (Pacific Standard Time),25
fumitoh/modelx,Thu Mar 25 2021 06:58:44 GMT-0700 (Pacific Daylight Time),31
fumitoh/modelx,Wed Oct 27 2021 14:25:41 GMT-0700 (Pacific Daylight Time),37
fumitoh/modelx,Tue Jun 14 2022 06:32:18 GMT-0700 (Pacific Daylight Time),43
fumitoh/modelx,Wed Sep 28 2022 22:15:02 GMT-0700 (Pacific Daylight Time),49
fumitoh/modelx,Sun Nov 27 2022 08:29:20 GMT-0800 (Pacific Standard Time),55
fumitoh/modelx,Sat Feb 11 2023 10:05:53 GMT-0800 (Pacific Standard Time),61
fumitoh/modelx,Wed Jul 05 2023 09:28:28 GMT-0700 (Pacific Daylight Time),67
fumitoh/modelx,Sat Aug 19 2023 13:36:45 GMT-0700 (Pacific Daylight Time),73
fumitoh/modelx,Tue Dec 12 2023 07:11:53 GMT-0800 (Pacific Standard Time),79
fumitoh/modelx,Fri Jun 07 2024 11:06:24 GMT-0700 (Pacific Daylight Time),85
fumitoh/modelx,Mon Aug 12 2024 11:48:32 GMT-0700 (Pacific Daylight Time),91
fumitoh/modelx,Thu Feb 06 2025 17:48:37 GMT-0800 (Pacific Standard Time),97
fumitoh/modelx,Wed Jul 02 2025 10:42:32 GMT-0700 (Pacific Daylight Time),102
