Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,How often do you use each of the following tools?,,,,,,,,,How proficient are you with each of the following tools?,,,,,,,,,How well do you think the following tools are suited for various areas of actuarial practice?,,,,,,,,,,,,,,,,,,,,,,,,,What other tools do you think should be added to the list above?,For which of the following tools do you plan to increase your proficiency in the next 12 months?,,,,,,,,,What barriers (if any) are preventing you from learning new technology?,,,,,,,What barriers (if any) are preventing you from implementing new technology?,,,,,,,Which of the following general analytic techniques do you use regularly?,,,,,,,,,,,,"Of those techniques listed above which you do not use regularly, why are you not using them?",,,,,,,What new technology should actuaries consider adopting that isn’t noted on this survey?,Is there a question about technology in actuarial science that you wish the CAS would have asked on this survey?,Please use this space for any additional comments.,Designation,Age,Where are you located?,,What type of company do you work for?,,Approximate number of CAS actuaries at my organization:,How many years of experience do you have working in the actuarial field?
,,,,,,,,,R,Excel,Non-Excel spreadsheet like Google Sheets,SAS,Python,Data visualization tool like Tableau,Business intelligence dashboarding tool like PowerBI,SQL,Something else,R,Excel,Non-Excel spreadsheet like Google Sheets,SAS,Python,Data visualization tool like Tableau,Business intelligence dashboarding tool like PowerBI,SQL,Something else,Excel - Ratemaking,Excel - Reserving,Excel - Capital modeling,R - Ratemaking,R - Reserving,R - Capital modeling,Non-Excel spreadsheet like Google Sheets - Ratemaking,Non-Excel spreadsheet like Google Sheets - Reserving,Non-Excel spreadsheet like Google Sheets - Capital modeling,SAS - Ratemaking,SAS - Reserving,SAS - Capital modeling,Python - Ratemaking,Python - Reserving,Python - Capital modeling,Data visualization tool like Tableau - Ratemaking,Data visualization tool like Tableau - Reserving,Data visualization tool like Tableau - Capital modeling,Business intelligence dashboarding tool like PowerBI - Ratemaking,Business intelligence dashboarding tool like PowerBI - Reserving,Business intelligence dashboarding tool like PowerBI - Capital modeling,SQL - Ratemaking,SQL - Reserving,SQL - Capital modeling,Something else,Open-Ended Response,R,Excel,Google Sheets,SAS,Python,A data visualization tool like Tableau,A business intelligence dashboarding tool like Power BI,SQL,Other (please specify),Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,Other (please specify),Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,Other (please specify),"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",AI/deep learning,Chain-ladder,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,Other (please specify),Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,Not enough time,No perceived benefit,Other (please specify),Open-Ended Response,Open-Ended Response,Open-Ended Response,Response,Response,Response,Other (please specify),Response,Other (please specify),Response,Response
118150737339,447447895,10/14/2022 01:43:34 PM,10/14/2022 01:48:17 PM,165.225.60.117,,,,,Less than once a month,At least once a day,Not at all,Not at all,Less than once a month,Less than once a month,At least once a week,Less than once a month,,Basic stuff,Advanced,Not at all,Not at all,Basic stuff,Basic stuff,Intermediate,Basic stuff,,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,,,R,Excel,,,Python,A data visualization tool like Tableau,A business intelligence dashboarding tool like Power BI,SQL,,Insufficient/inadequate staff,,,,Not enough time,,,Insufficient/inadequate staff,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,,,,,,,,Insufficient/inadequate staff,,,,Not enough time,No perceived benefit,,,,,ACAS,51-60 years old,United States,,Insurance company,,51-200,More than 20
118150610667,447447895,10/14/2022 11:21:41 AM,10/14/2022 11:25:48 AM,167.127.104.187,,,,,At least once a day,At least once a week,Not at all,Not at all,At least once a week,Less than once a month,Less than once a month,At least once a day,,Expert,Advanced,Advanced,Basic stuff,Advanced,Basic stuff,Not at all,Expert,,Very much so,,,Very much so,,,Somewhat,,,Unsure,,,Somewhat,,,Unsure,,,Somewhat,,,Very much so,,,,Various ETL frameworks including Airflow and software such as Spark or Ab Initio.,R,,,,Python,,,SQL,,,,Lack of IT support,,Not enough time,,,,,Lack of IT support,,Not enough time,,,"Linear regression, including GLMs",,Premium adjustment,,,,,AI/deep learning,,Tree-based methods like random forests,Unsupervised learning methods like clustering or PCA,,,,,,,,Not applicable,Big data technologies including Spark and h2o,,,FCAS,Up to 30 years old,United States,,Insurance company,,200+,Between 5 and 10
118150579306,447447895,10/14/2022 10:49:07 AM,10/14/2022 10:53:31 AM,24.63.134.129,,,,,Less than once a month,At least once a day,At least once a day,Not at all,Not at all,Not at all,Not at all,At least once a month,,Basic stuff,Advanced,Intermediate,Basic stuff,Not at all,Not at all,Basic stuff,Intermediate,,Very much so,Somewhat,Unsure,Somewhat,Somewhat,Unsure,Not at all,Not at all,Unsure,Somewhat,Somewhat,Unsure,Not at all,Unsure,Unsure,Somewhat,Very much so,Unsure,Very much so,Very much so,Unsure,Somewhat,Somewhat,Unsure,,N/A,R,Excel,,,Python,,,SQL,,Insufficient/inadequate staff,,Lack of IT support,,Not enough time,,,Insufficient/inadequate staff,,Lack of IT support,,Not enough time,No perceived benefit,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,,,,Chain-ladder,,,,Insufficient/inadequate staff,,Lack of IT support,,,No perceived benefit,,N/A,N/A,N/A,None yet,31-40 years old,United States,,Insurance company,,6-10,Between 10 and 15
118149981629,447447895,10/13/2022 05:07:08 PM,10/13/2022 05:30:22 PM,142.169.16.88,,,,,Less than once a month,At least once a day,Not at all,Not at all,Not at all,At least once a week,Not at all,At least once a week,,Basic stuff,Advanced,Not at all,Intermediate,Not at all,Intermediate,Not at all,Advanced,,Somewhat,Very much so,Somewhat,Very much so,Very much so,Somewhat,Unsure,Unsure,Unsure,Not at all,Not at all,Not at all,Very much so,Very much so,Unsure,Very much so,Very much so,Somewhat,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,,,R,,,,,A data visualization tool like Tableau,,,,Insufficient/inadequate staff,,,,Not enough time,,,Insufficient/inadequate staff,Lack of management support,Lack of IT support,Financial cost,,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,,,,,,,,,,,,,No perceived benefit,,,,,FCAS,31-40 years old,Canada,,Insurance company,,51-200,Between 10 and 15
118148513337,447447895,10/12/2022 08:29:42 AM,10/12/2022 08:34:04 AM,165.225.57.206,,,,,At least once a week,At least once a day,Not at all,Not at all,Not at all,Not at all,At least once a week,At least once a week,,Intermediate,Advanced,Not at all,Not at all,Not at all,Not at all,Basic stuff,Intermediate,,Very much so,Very much so,Very much so,Somewhat,Somewhat,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Somewhat,Very much so,Very much so,Very much so,,,R,,,,,,A business intelligence dashboarding tool like Power BI,SQL,,Insufficient/inadequate staff,,,,Not enough time,,,Insufficient/inadequate staff,,,,,No perceived benefit,,"Linear regression, including GLMs",Credibility,,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,,,,Not enough time,,,,,,FCAS,41-50 years old,United States,,Insurance company,,6-10,More than 20
118147502167,447447895,10/11/2022 08:39:00 AM,10/11/2022 08:43:48 AM,174.192.80.177,,,,,Less than once a month,At least once a day,Less than once a month,Not at all,Not at all,Less than once a month,At least once a month,Less than once a month,,Basic stuff,Advanced,Intermediate,Not at all,Not at all,Not at all,Not at all,Basic stuff,,Very much so,Very much so,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,Very much so,Very much so,Unsure,Very much so,Unsure,Unsure,Very much so,Unsure,Unsure,Somewhat,Somewhat,Unsure,,,R,,,,,A data visualization tool like Tableau,A business intelligence dashboarding tool like Power BI,,,,,,,Not enough time,,,,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,Tree-based methods like random forests,,,,,,,Not enough time,No perceived benefit,,,,,FCAS,31-40 years old,United States,,Insurance company,,200+,Between 5 and 10
118146654796,447447895,10/10/2022 09:47:16 AM,10/10/2022 09:51:11 AM,163.116.133.76,,,,,At least once a month,At least once a week,Less than once a month,At least once a week,Not at all,Less than once a month,Less than once a month,At least once a month,,Advanced,Advanced,Basic stuff,Intermediate,Not at all,Basic stuff,Not at all,Advanced,,Very much so,Very much so,Unsure,Very much so,Somewhat,Unsure,Not at all,Not at all,Unsure,Very much so,Somewhat,Unsure,Unsure,Unsure,Unsure,Somewhat,Not at all,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,,,R,Excel,,SAS,,,,,,,,,,Not enough time,,,,,,Financial cost,,,,"Linear regression, including GLMs",,,,,,"Time series analysis, including claim trend analysis",,,,,,Insufficient/inadequate staff,,,,,,Not my practice area,,,,ACAS,41-50 years old,United States,,Insurance company,,6-10,Between 5 and 10
118146603424,447447895,10/10/2022 08:52:22 AM,10/10/2022 08:56:31 AM,73.249.66.195,,,,,Less than once a month,At least once a day,Less than once a month,At least once a month,Not at all,At least once a month,Less than once a month,At least once a day,,Basic stuff,Expert,Basic stuff,Basic stuff,Not at all,Basic stuff,Basic stuff,Advanced,,Very much so,Somewhat,Somewhat,Somewhat,Very much so,Somewhat,Very much so,Somewhat,Unsure,Unsure,Somewhat,Somewhat,Unsure,Unsure,Unsure,Not at all,Unsure,Unsure,Unsure,Somewhat,Unsure,Not at all,Somewhat,Unsure,,,R,,,SAS,,A data visualization tool like Tableau,A business intelligence dashboarding tool like Power BI,,,Insufficient/inadequate staff,,,,Not enough time,No perceived benefit,,Insufficient/inadequate staff,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,,,,Not enough time,No perceived benefit,,,,,FCAS,31-40 years old,United States,,Insurance company,,6-10,Between 10 and 15
118146109359,447447895,10/09/2022 11:15:54 AM,10/09/2022 11:23:23 AM,72.53.214.111,,,,,Less than once a month,At least once a day,,Less than once a month,At least once a day,Less than once a month,Less than once a month,At least once a day,,Expert,Expert,Expert,Expert,Expert,Intermediate,Intermediate,Expert,,Very much so,Very much so,Very much so,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,,"RESQ, ARIUS",,,,,,A data visualization tool like Tableau,A business intelligence dashboarding tool like Power BI,,,,,,,Not enough time,,,,,,Financial cost,,,,"Linear regression, including GLMs",Credibility,Premium adjustment,Excess loss analysis,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,,,,Not enough time,No perceived benefit,,,,,FCAS,51-60 years old,Canada,,Consulting Firm,,1-5,More than 20
118145851384,447447895,10/08/2022 02:50:51 PM,10/08/2022 02:54:03 PM,74.134.166.177,,,,,Not at all,At least once a day,Not at all,At least once a week,Not at all,Less than once a month,Not at all,At least once a week,,Basic stuff,Advanced,Intermediate,Intermediate,Basic stuff,Intermediate,Not at all,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Excel,,SAS,,A data visualization tool like Tableau,,SQL,,,,,,Not enough time,,,,,,,,,,"Linear regression, including GLMs",Credibility,Premium adjustment,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,,,,,,,,,,None yet,Up to 30 years old,United States,,Insurance company,,26-50,Less than 5
118145404659,447447895,10/07/2022 04:48:02 PM,10/07/2022 04:54:24 PM,73.12.203.165,,,,,At least once a week,At least once a day,Not at all,Not at all,At least once a day,Less than once a month,Less than once a month,At least once a month,,Advanced,Intermediate,Basic stuff,Not at all,Expert,Not at all,Not at all,Basic stuff,,Somewhat,Very much so,Not at all,Somewhat,Very much so,Somewhat,Unsure,Somewhat,Not at all,Not at all,Not at all,Not at all,Very much so,Somewhat,Very much so,Not at all,Unsure,Not at all,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Somewhat,,,R,Excel,,,Python,,,SQL,,Insufficient/inadequate staff,,,,,No perceived benefit,,Insufficient/inadequate staff,,,,Not enough time,No perceived benefit,,"Linear regression, including GLMs",,Premium adjustment,Excess loss analysis,,,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,Lack of management support,,,Not enough time,No perceived benefit,,,,,ACAS,Up to 30 years old,United States,,Broker or (re)insurance intermediary,,51-200,Less than 5
118144478964,447447895,10/06/2022 05:20:01 PM,10/06/2022 05:22:58 PM,104.225.207.218,,,,,Not at all,At least once a day,Not at all,Not at all,Not at all,At least once a week,Not at all,At least once a month,,Not at all,Advanced,Not at all,Not at all,Not at all,Basic stuff,Not at all,Basic stuff,,Very much so,Very much so,Unsure,,,,,,,,,,,,,Somewhat,Somewhat,Unsure,,,,Very much so,Very much so,Unsure,,,,,,,,,,,,,,,,Not enough time,No perceived benefit,,,,,,Not enough time,No perceived benefit,,,Credibility,Premium adjustment,,,Bornhuetter-Ferguson,,,Chain-ladder,,,,,,,,Not enough time,No perceived benefit,,,,,FCAS,41-50 years old,United States,,Insurance company,,1-5,More than 20
118143781658,447447895,10/06/2022 03:06:51 AM,10/06/2022 03:10:59 AM,24.16.98.18,,,,,Not at all,At least once a day,Not at all,Less than once a month,At least once a day,Not at all,Less than once a month,Not at all,,Not at all,Intermediate,Intermediate,Basic stuff,Basic stuff,Not at all,Not at all,Not at all,,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,,,,Excel,,,Python,,,,,,,,,Not enough time,,,,,,,,,,"Linear regression, including GLMs",,,,,,,,,,,,,,,,,,,,,,None yet,Up to 30 years old,United States,,Insurance company,,200+,Less than 5
118143687343,447447895,10/05/2022 10:49:01 PM,10/05/2022 10:53:20 PM,68.13.125.176,,,,,Less than once a month,At least once a day,Not at all,Not at all,Not at all,At least once a month,Not at all,At least once a day,,Intermediate,Expert,Expert,Not at all,Not at all,Intermediate,Intermediate,Expert,,Very much so,Somewhat,Unsure,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Very much so,Very much so,Unsure,Very much so,Very much so,Unsure,,None,,,,,Python,,,,,,,,,Not enough time,,,,Lack of management support,,,,,,,Credibility,Premium adjustment,,,,,,Chain-ladder,,,,,Lack of management support,,,,No perceived benefit,,None,None,,None yet,31-40 years old,United States,,Insurance company,,1-5,Between 10 and 15
118143666102,447447895,10/05/2022 05:00:24 PM,10/05/2022 10:03:15 PM,69.122.32.131,,,,,Not at all,At least once a day,At least once a week,Not at all,Not at all,Not at all,Less than once a month,Not at all,,Basic stuff,Advanced,Basic stuff,Not at all,Not at all,Not at all,Not at all,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118143655056,447447895,10/05/2022 09:37:17 PM,10/05/2022 09:39:09 PM,104.129.198.134,,,,,Less than once a month,At least once a day,Less than once a month,Not at all,Less than once a month,Less than once a month,At least once a month,,,Basic stuff,Expert,Intermediate,Not at all,Not at all,Basic stuff,Basic stuff,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,Excel,,,,,A business intelligence dashboarding tool like Power BI,,,,,,,,,,,,,,Not enough time,,,"Linear regression, including GLMs",Credibility,,Excess loss analysis,"Bayesian analysis, and/or MCMC",Bornhuetter-Ferguson,"Time series analysis, including claim trend analysis",,Chain-ladder,,,,,,,,,,,,,,FCAS,51-60 years old,United States,,,,200+,More than 20
118143473756,447447895,10/05/2022 04:29:20 PM,10/05/2022 04:34:09 PM,73.9.168.162,,,,,At least once a week,At least once a day,Less than once a month,Not at all,Not at all,Not at all,Not at all,At least once a month,,Advanced,Advanced,Basic stuff,Not at all,Intermediate,Not at all,Not at all,Intermediate,,Very much so,Very much so,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,,,R,,,,Python,,,SQL,,,,,,Not enough time,No perceived benefit,,,,,,,No perceived benefit,,"Linear regression, including GLMs",Credibility,,,,,,,,Tree-based methods like random forests,,,,,,,Not enough time,No perceived benefit,,,,,FCAS,31-40 years old,United States,,Insurance company,,51-200,Between 10 and 15
118143103485,447447895,10/05/2022 10:06:58 AM,10/05/2022 10:11:20 AM,170.202.22.118,,,,,Not at all,At least once a day,Not at all,Less than once a month,Not at all,Not at all,Not at all,Less than once a month,,Not at all,Expert,Basic stuff,Basic stuff,Not at all,Not at all,Not at all,Basic stuff,,Not at all,Somewhat,Unsure,Very much so,Very much so,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,Very much so,Very much so,Unsure,Unsure,Somewhat,Unsure,Unsure,Somewhat,Unsure,Somewhat,Somewhat,Unsure,,,,,,,Python,,,SQL,,,,,,Not enough time,,I am in a leadership position and have very little time for hands-on.,Insufficient/inadequate staff,,,,Not enough time,,,,,,,,,,,,,,,,,,,,,,,,,FCAS,31-40 years old,United States,,Insurance company,,200+,Between 15 and 20
118143066017,447447895,10/05/2022 09:22:53 AM,10/05/2022 09:30:11 AM,216.81.212.53,,,,,At least once a week,At least once a day,Not at all,Not at all,Not at all,At least once a month,Not at all,At least once a day,,Intermediate,Advanced,Not at all,Not at all,Not at all,Advanced,Not at all,Expert,,Very much so,Unsure,Unsure,Very much so,Unsure,Unsure,Very much so,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat,Unsure,Unsure,Somewhat,Unsure,Unsure,Unsure,Unsure,Unsure,Very much so,Very much so,Unsure,,,R,,,,,,,,,,,,,Not enough time,No perceived benefit,,,,Lack of IT support,,,,,,,,,,,,,,,,,,,,,Not enough time,No perceived benefit,,,,,None yet,Up to 30 years old,United States,,Insurance company,,11-25,Between 5 and 10
