========= ======= =========== =========== ============ ============ =========
origin     Latest Dev to Date    Ultimate         IBNR    Mack S.E.  CV(IBNR)
========= ======= =========== =========== ============ ============ =========
1   	  3901463      1.000  3901463.000        0.000        0.000       NaN
2  	  5339085      0.983  5433718.815    94633.815    71835.187     0.759
3  	  4909315      0.913  5378826.290   469511.290   119473.736     0.254
4  	  4588268      0.866  5297905.821   709637.821   131572.833     0.185
5   	  3873311      0.797  4858199.639   984888.639   260530.015     0.265
6  	  3691712      0.722  5111171.458  1419459.458   410406.890     0.289
7  	  3483130      0.615  5660770.620  2177640.620   557795.542     0.256
8  	  2864498      0.422  6784799.012  3920301.012   874882.218     0.223
9  	  1363294      0.242  5642266.263  4278972.263   970959.785     0.227
10 	   344014      0.069  4969824.694  4625810.694  1362981.070     0.295
========= ======= =========== =========== ============ ============ =========
