==========  ==== ======= ======= ======= ======= ======= ======= ====== ====== ======
dev            1       2       3       4       5       6       7      8      9     10
==========  ==== ======= ======= ======= ======= ======= ======= ====== ====== ======
**origin**                                                                           
**1981**    5012  3257.0  2638.0   898.0  1734.0  2642.0  1828.0  599.0   54.0  172.0
**1982**     106  4179.0  1111.0  5270.0  3116.0  1817.0  -103.0  673.0  535.0    NaN
**1983**    3410  5582.0  4881.0  2268.0  2594.0  3479.0   649.0  603.0    NaN    NaN
**1984**    5655  5900.0  4211.0  5500.0  2159.0  2658.0   984.0    NaN    NaN    NaN
**1985**    1092  8473.0  6271.0  6333.0  3786.0   225.0     NaN    NaN    NaN    NaN
**1986**    1513  4932.0  5257.0  1233.0  2917.0     NaN     NaN    NaN    NaN    NaN
**1987**     557  3463.0  6926.0  1368.0     NaN     NaN     NaN    NaN    NaN    NaN
**1988**    1351  5596.0  6165.0     NaN     NaN     NaN     NaN    NaN    NaN    NaN
**1989**    3133  2262.0     NaN     NaN     NaN     NaN     NaN    NaN    NaN    NaN
**1990**    2063     NaN     NaN     NaN     NaN     NaN     NaN    NaN    NaN    NaN
==========  ==== ======= ======= ======= ======= ======= ======= ====== ====== ======
