========== ==== ======== ======== ======== ======== ======== ======== ======== ======== ======== ========
dev           1        2        3        4        5        6        7        8        9       10      Ult
========== ==== ======== ======== ======== ======== ======== ======== ======== ======== ======== ========
**origin**    
**1981**   5012   8269.0  10907.0  11805.0  13539.0  16181.0  18009.0  18608.0  18662.0  18834.0  18834.0
**1982**    106   4285.0   5396.0  10666.0  13782.0  15599.0  15496.0  16169.0  16704.0  16858.0  16858.0
**1983**   3410   8992.0  13873.0  16141.0  18735.0  22214.0  22863.0  23466.0  23863.0  24083.0  24083.0
**1984**   5655  11555.0  15766.0  21266.0  23425.0  26083.0  27067.0  27967.0  28441.0  28703.0  28703.0
**1985**   1092   9565.0  15836.0  22169.0  25955.0  26180.0  27278.0  28185.0  28663.0  28927.0  28927.0
**1986**   1513   6445.0  11702.0  12935.0  15852.0  17649.0  18389.0  19001.0  19323.0  19501.0  19501.0
**1987**    557   4020.0  10946.0  12314.0  14428.0  16064.0  16738.0  17294.0  17587.0  17749.0  17749.0
**1988**   1351   6947.0  13112.0  16664.0  19525.0  21738.0  22650.0  23403.0  23800.0  24019.0  24019.0
**1989**   3133   5395.0   8759.0  11132.0  13043.0  14521.0  15130.0  15634.0  15898.0  16045.0  16045.0
**1990**   2063   6188.0  10046.0  12767.0  14959.0  16655.0  17353.0  17931.0  18234.0  18402.0  18402.0
========== ==== ======== ======== ======== ======== ======== ======== ======== ======== ======== ========
